cell,predict_cell,step
PAT20(CARD)_AH002,PAT6(LGD)_H_149,1
PAT20(CARD)_AH006,PAT19(LGD)_B_42,1
PAT20(CARD)_AH007,PAT6(HGD)_I_89,1
PAT20(CARD)_AH010,PAT20(ESO)_E_6,1
PAT20(CARD)_AH014,PAT19(LGD)_B_76,1
PAT20(CARD)_AH015,PAT19(LGD)_B_213,1
PAT20(CARD)_AH017,PAT19(LGD)_B_323,1
PAT20(CARD)_AH018,PAT20(CARD)_F_81,1
PAT20(CARD)_AH020,PAT6(LGD)_H_91,1
PAT20(CARD)_AH021,PAT20(ESO)_E_27,1
PAT20(CARD)_AH024,PAT20(ESO)_E_209,1
PAT20(CARD)_AH026,PAT20(ESO)_E_80,1
PAT20(CARD)_AH027,PAT9(NDBE)_J_263,1
PAT20(CARD)_AH029,PAT19(LGD)_B_132,1
PAT20(CARD)_AH031,PAT14(HGD)_C_241,1
PAT20(CARD)_AH032,PAT6(LGD)_H_133,1
PAT20(CARD)_AH034,PAT16(EAC)_A_125,1
PAT20(CARD)_AH035,PAT20(CARD)_F_141,1
PAT20(CARD)_AH037,PAT16(EAC)_A_296,1
PAT20(CARD)_AH038,PAT14(NDBE)_D_266,1
PAT20(CARD)_AH039,PAT20(ESO)_E_101,1
PAT20(CARD)_AH040,PAT20(HGD1)_D_162,1
PAT20(CARD)_AH043,PAT16(NDBE)_B_117,1
PAT20(CARD)_AH044,PAT19(LGD)_B_217,1
PAT20(CARD)_AH046,PAT14(NDBE)_D_174,1
PAT20(CARD)_AH047,PAT9(NDBE)_J_325,1
PAT20(CARD)_AH049,PAT16(NDBE)_B_58,1
PAT20(CARD)_AH052,PAT20(ESO)_E_90,1
PAT20(CARD)_AH053,PAT16(NDBE)_B_116,1
PAT20(CARD)_AH054,PAT19(LGD)_B_339,1
PAT20(CARD)_AH055,PAT9(NDBE)_J_351,1
PAT20(CARD)_AH056,PAT9(NDBE)_J_44,1
PAT20(CARD)_AH057,PAT16(NDBE)_B_112,1
PAT20(CARD)_AH058,PAT14(NDBE)_D_276,1
PAT20(CARD)_AH059,PAT19(LGD)_B_168,1
PAT20(CARD)_AH061,PAT20(CARD)_F_219,1
PAT20(CARD)_AH063,PAT20(CARD)_F_350,1
PAT20(CARD)_AH064,PAT20(HGD1)_D_346,1
PAT20(CARD)_AH065,PAT19(LGD)_B_106,1
PAT20(CARD)_AH066,PAT20(CARD)_F_98,1
PAT20(CARD)_AH067,PAT14(NDBE)_D_277,1
PAT20(CARD)_AH068,PAT20(ESO)_E_64,1
PAT20(CARD)_AH069,PAT9(NDBE)_J_97,1
PAT20(CARD)_AH071,PAT20(ESO)_E_147,1
PAT20(CARD)_AH073,PAT14(HGD)_C_364,1
PAT20(CARD)_AH074,PAT19(LGD)_B_33,1
PAT20(CARD)_AH075,PAT6(LGD)_H_355,1
PAT20(CARD)_AH078,PAT16(EAC)_A_235,1
PAT20(CARD)_AH082,PAT9(NDBE)_J_208,1
PAT20(CARD)_AH083,PAT19(LGD)_B_74,1
PAT20(CARD)_AH084,PAT20(CARD)_F_230,1
PAT20(CARD)_AH085,PAT9(NDBE)_J_139,1
PAT20(CARD)_AH086,PAT20(CARD)_F_338,1
PAT20(CARD)_AH087,PAT20(CARD)_F_220,1
PAT20(CARD)_AH088,PAT9(NDBE)_J_321,1
PAT20(CARD)_AH089,PAT19(LGD)_B_73,1
PAT20(CARD)_AH090,PAT20(ESO)_E_290,1
PAT20(CARD)_AH091,PAT6(HGD)_I_225,1
PAT20(CARD)_AH093,PAT19(LGD)_B_255,1
PAT20(CARD)_AH094,PAT9(NDBE)_J_106,1
PAT20(CARD)_AH096,PAT9(NDBE)_J_273,1
PAT20(CARD)_AH097,PAT20(CARD)_F_69,1
PAT20(CARD)_AH098,PAT14(NDBE)_D_63,1
PAT20(CARD)_AH099,PAT20(CARD)_F_335,1
PAT20(CARD)_AH100,PAT20(ESO)_E_244,1
PAT20(CARD)_AH101,PAT19(LGD)_B_194,1
PAT20(CARD)_AH102,PAT20(ESO)_E_194,1
PAT20(CARD)_AH103,PAT16(NDBE)_B_340,1
PAT20(CARD)_AH104,PAT9(NDBE)_J_50,1
PAT20(CARD)_AH107,PAT9(NDBE)_J_42,1
PAT20(CARD)_AH109,PAT14(HGD)_C_71,1
PAT20(CARD)_AH110,PAT9(NDBE)_J_85,1
PAT20(CARD)_AH111,PAT20(HGD1)_D_78,1
PAT20(CARD)_AH112,PAT9(NDBE)_J_101,1
PAT20(CARD)_AH113,PAT16(NDBE)_B_33,1
PAT20(CARD)_AH114,PAT19(LGD)_B_8,1
PAT20(CARD)_AH117,PAT9(NDBE)_J_137,1
PAT20(CARD)_AH119,PAT6(HGD)_I_119,1
PAT20(CARD)_AH120,PAT20(ESO)_E_54,1
PAT20(CARD)_AH121,PAT9(NDBE)_J_81,1
PAT20(CARD)_AH122,PAT6(HGD)_I_3,1
PAT20(CARD)_AH123,PAT20(CARD)_F_147,1
PAT20(CARD)_AH126,PAT20(ESO)_E_228,1
PAT20(CARD)_AH127,PAT20(ESO)_E_46,1
PAT20(CARD)_AH128,PAT14(HGD)_C_343,1
PAT20(CARD)_AH130,PAT16(NDBE)_B_367,1
PAT20(CARD)_AH131,PAT16(NDBE)_B_291,1
PAT20(CARD)_AH133,PAT9(NDBE)_J_223,1
PAT20(CARD)_AH134,PAT19(LGD)_B_240,1
PAT20(CARD)_AH136,PAT20(ESO)_E_300,1
PAT20(CARD)_AH140,PAT20(HGD1)_D_311,1
PAT20(CARD)_AH141,PAT6(HGD)_I_81,1
PAT20(CARD)_AH145,PAT20(HGD1)_D_47,1
PAT20(CARD)_AH146,PAT9(NDBE)_J_342,1
PAT20(CARD)_AH148,PAT20(CARD)_F_68,1
PAT20(CARD)_AH150,PAT6(HGD)_I_253,1
PAT20(CARD)_AH152,PAT9(NDBE)_J_252,1
PAT20(CARD)_AH153,PAT20(ESO)_E_338,1
PAT20(CARD)_AH156,PAT20(CARD)_F_3,1
PAT20(CARD)_AH157,PAT16(NDBE)_B_305,1
PAT20(CARD)_AH158,PAT20(ESO)_E_37,1
PAT20(CARD)_AH159,PAT20(HGD1)_D_295,1
PAT20(CARD)_AH160,PAT6(HGD)_I_321,1
PAT20(CARD)_AH161,PAT14(NDBE)_D_309,1
PAT20(CARD)_AH162,PAT20(HGD1)_D_96,1
PAT20(CARD)_AH163,PAT6(HGD)_I_59,1
PAT20(CARD)_AH164,PAT9(NDBE)_J_212,1
PAT20(CARD)_AH166,PAT6(LGD)_H_340,1
PAT20(CARD)_AH167,PAT9(NDBE)_J_84,1
PAT20(CARD)_AH168,PAT6(HGD)_I_306,1
PAT20(CARD)_AH169,PAT16(NDBE)_B_221,1
PAT20(CARD)_AH171,PAT9(NDBE)_J_317,1
PAT20(CARD)_AH172,PAT19(LGD)_B_25,1
PAT20(CARD)_AH174,PAT19(LGD)_B_162,1
PAT20(CARD)_AH175,PAT20(CARD)_F_92,1
PAT20(CARD)_AH176,PAT9(NDBE)_J_332,1
PAT20(CARD)_AH177,PAT9(NDBE)_J_294,1
PAT20(CARD)_AH178,PAT20(HGD1)_D_376,1
PAT20(CARD)_AH182,PAT20(ESO)_E_112,1
PAT20(CARD)_AH183,PAT20(CARD)_F_143,1
PAT20(CARD)_AH184,PAT20(CARD)_F_357,1
PAT20(CARD)_AH186,PAT14(NDBE)_D_356,1
PAT20(CARD)_AH190,PAT20(ESO)_E_232,1
PAT20(CARD)_AH191,PAT9(NDBE)_J_303,1
PAT20(CARD)_AH192,PAT19(LGD)_B_252,1
PAT20(CARD)_AH193,PAT14(HGD)_C_248,1
PAT20(CARD)_AH194,PAT14(NDBE)_D_149,1
PAT20(CARD)_AH197,PAT20(CARD)_F_56,1
PAT20(CARD)_AH199,PAT14(HGD)_C_261,1
PAT20(CARD)_AH200,PAT19(LGD)_B_129,1
PAT20(CARD)_AH201,PAT19(LGD)_B_16,1
PAT20(CARD)_AH202,PAT20(ESO)_E_344,1
PAT20(CARD)_AH208,PAT19(LGD)_B_61,1
