,dat_type,accuracy,clone_0,clone_1,clone_2,clone_3
0,original,0.8840579710144928,88,10,19,6
1,resampled,0.5217391304347826,25,42,30,26
2,resampled,0.3188405797101449,32,74,0,17
3,resampled,0.5507246376811594,30,1,54,38
4,resampled,0.43478260869565216,33,50,8,32
5,resampled,0.7536231884057971,49,17,50,7
6,resampled,0.21739130434782608,6,53,7,57
7,resampled,0.855072463768116,66,11,45,1
8,resampled,0.36231884057971014,7,51,20,45
9,resampled,0.5797101449275363,35,56,23,9
10,resampled,0.2753623188405797,0,56,58,9
