,cell_ID
0,CRC10_PT3_126
1,CRC10_LN1_030
2,CRC10_LN1_042
3,CRC10_PT3_103
4,CRC10_LN1_006
5,CRC10_PT3_107
6,CRC10_PT3_145
7,CRC10_PT3_141
8,CRC10_PT3_109
9,CRC10_LN1_041
10,CRC10_PT4_738
11,CRC10_LN1_003
12,CRC10_PT3_118
13,CRC10_LN1_039
14,CRC10_PT3_105
15,CRC10_PT3_114
16,CRC10_LN1_035
17,CRC10_LN1_017
18,CRC10_LN1_046
19,CRC10_PT3_138
20,CRC10_LN1_011
21,CRC10_LN1_019
22,CRC10_LN1_026
23,CRC10_LN1_008
24,CRC10_PT3_111
25,CRC10_PT3_119
26,CRC10_LN1_028
27,CRC10_LN2_287
28,CRC10_LN1_044
29,CRC10_LN1_029
30,CRC10_PT3_125
31,CRC10_PT4_740
32,CRC10_LN1_016
33,CRC10_LN3_070
34,CRC10_PT3_122
35,CRC10_PT3_127
36,CRC10_PT3_110
37,CRC10_LN1_047
38,CRC10_LN1_024
39,CRC10_PT3_104
40,CRC10_LN1_040
41,CRC10_LN1_014
42,CRC10_PT3_128
43,CRC10_LN1_010
44,CRC10_LN1_033
45,CRC10_PT1_154
46,CRC10_PT4_745
47,CRC10_PT3_147
48,CRC10_LN1_015
49,CRC10_LN1_038
50,CRC10_PT4_748
51,CRC10_PT3_115
52,CRC10_LN1_031
53,CRC10_PT3_106
54,CRC10_PT3_101
55,CRC10_PT3_113
56,CRC10_PT3_124
57,CRC10_PT3_140
58,CRC10_PT1_165
59,CRC10_LN1_021
60,CRC10_LN1_018
61,CRC10_PT3_117
62,CRC10_PT3_112
63,CRC10_LN1_048
64,CRC10_PT3_108
65,CRC10_PT3_131
66,CRC10_LN3_073
67,CRC10_LN1_007
68,CRC10_PT3_137
69,CRC10_LN1_025
70,CRC10_PT3_102
71,CRC10_PT1_160
72,CRC10_PT1_155
73,CRC10_PT1_156
74,CRC10_PT3_135
75,CRC10_PT3_133
76,CRC10_PT3_136
77,CRC10_PT1_175
78,CRC10_PT1_157
79,CRC10_PT2_244
80,CRC10_LN1_004
81,CRC10_PT3_148
82,CRC10_PT3_130
83,CRC10_LN1_037
84,CRC10_PT3_142
