,cell_ID
0,CRC11_LN1_301
1,CRC11_LN1_302
2,CRC11_LN1_303
3,CRC11_LN1_304
4,CRC11_LN1_306
5,CRC11_LN1_307
6,CRC11_LN1_308
7,CRC11_LN1_309
8,CRC11_LN1_310
9,CRC11_LN1_311
10,CRC11_LN1_313
11,CRC11_LN1_314
12,CRC11_LN1_315
13,CRC11_LN1_316
14,CRC11_LN1_317
15,CRC11_LN1_318
16,CRC11_LN1_319
17,CRC11_LN1_320
18,CRC11_LN1_321
19,CRC11_LN1_323
20,CRC11_LN1_324
21,CRC11_LN1_325
22,CRC11_LN1_326
23,CRC11_LN1_327
24,CRC11_LN1_328
25,CRC11_LN1_329
26,CRC11_LN1_330
27,CRC11_LN1_332
28,CRC11_LN1_333
29,CRC11_LN1_334
30,CRC11_LN1_335
31,CRC11_LN1_336
32,CRC11_LN1_338
33,CRC11_LN1_339
34,CRC11_LN1_340
35,CRC11_LN1_342
36,CRC11_LN1_343
37,CRC11_LN1_344
38,CRC11_LN1_345
39,CRC11_LN1_347
40,CRC11_LN1_348
41,CRC11_LN1_349
42,CRC11_LN1_350
43,CRC11_LN1_351
44,CRC11_LN1_352
45,CRC11_LN1_353
46,CRC11_LN1_354
47,CRC11_LN1_355
48,CRC11_LN1_356
49,CRC11_LN1_357
50,CRC11_LN1_358
51,CRC11_LN1_359
52,CRC11_LN1_360
53,CRC11_LN1_361
54,CRC11_LN1_362
55,CRC11_LN1_363
56,CRC11_LN1_364
57,CRC11_LN1_365
58,CRC11_LN1_366
59,CRC11_LN1_367
60,CRC11_LN1_368
61,CRC11_LN1_369
62,CRC11_LN1_370
63,CRC11_LN1_371
64,CRC11_LN1_372
65,CRC11_LN1_373
66,CRC11_LN1_374
67,CRC11_LN1_375
68,CRC11_LN1_376
69,CRC11_LN1_377
70,CRC11_LN1_378
71,CRC11_LN1_379
72,CRC11_LN1_380
73,CRC11_LN1_381
74,CRC11_LN1_382
75,CRC11_LN1_383
76,CRC11_LN1_385
77,CRC11_LN1_386
78,CRC11_LN1_387
79,CRC11_LN1_388
80,CRC11_NC_389
81,CRC11_NC_390
82,CRC11_NC_391
83,CRC11_NC_393
84,CRC11_NC_395
85,CRC11_NC_396
86,CRC11_NC_404
87,CRC11_NC_405
88,CRC11_NC_406
89,CRC11_NC_407
90,CRC11_NC_408
91,CRC11_NC_409
92,CRC11_NC_412
93,CRC11_NC_413
94,CRC11_NC_414
95,CRC11_NC_415
96,CRC11_NC_416
