,cell_ID
0,CRC11_PT1_534
1,CRC11_PT1_438
2,CRC11_PT3_790
3,CRC11_PT1_434
4,CRC11_PT3_793
5,CRC11_PT1_430
6,CRC11_PT4_702
7,CRC11_PT3_779
8,CRC11_PT1_443
9,CRC11_PT1_425
10,CRC11_PT3_794
11,CRC11_PT3_789
12,CRC11_PT1_431
13,CRC11_PT1_455
14,CRC11_PT3_760
15,CRC11_PT1_447
16,CRC11_PT4_739
17,CRC11_PT1_445
18,CRC11_PT4_711
19,CRC11_PT1_437
20,CRC11_PT1_459
21,CRC11_PT1_460
22,CRC11_PT1_441
23,CRC11_PT3_760
24,CRC11_PT3_785
25,CRC11_PT4_718
26,CRC11_PT4_718
27,CRC11_PT4_726
28,CRC11_PT4_728
29,CRC11_PT4_717
30,CRC11_PT1_439
31,CRC11_PT1_434
32,CRC11_PT1_432
33,CRC11_PT3_776
34,CRC11_PT3_774
35,CRC11_PT1_450
36,CRC11_PT3_769
37,CRC11_PT1_425
38,CRC11_LN1_385
39,CRC11_PT3_773
40,CRC11_PT4_704
41,CRC11_PT1_433
42,CRC11_PT4_719
43,CRC11_PT1_439
44,CRC11_PT3_757
45,CRC11_PT3_790
46,CRC11_PT1_466
47,CRC11_PT3_789
48,CRC11_PT1_428
49,CRC11_PT3_788
50,CRC11_PT1_449
51,CRC11_PT3_759
52,CRC11_PT3_769
53,CRC11_PT1_428
54,CRC11_PT3_785
55,CRC11_PT1_453
56,CRC11_PT3_753
57,CRC11_PT3_794
58,CRC11_PT1_456
59,CRC11_PT3_762
60,CRC11_PT4_703
61,CRC11_PT1_542
62,CRC11_PT4_706
63,CRC11_PT1_442
64,CRC11_PT2_485
65,CRC11_PT2_506
66,CRC11_PT2_508
67,CRC11_PT2_494
68,CRC11_PT2_495
69,CRC11_PT2_506
70,CRC11_PT2_485
71,CRC11_PT3_781
72,CRC11_LN1_326
73,CRC11_PT3_787
74,CRC11_PT2_475
75,CRC11_PT2_508
76,CRC11_PT2_488
77,CRC11_PT2_525
78,CRC11_PT2_486
79,CRC11_PT2_485
80,CRC11_PT2_506
81,CRC11_PT2_504
82,CRC11_PT2_528
83,CRC11_PT2_481
84,CRC11_PT2_495
85,CRC11_PT4_742
86,CRC11_LN1_326
87,CRC11_PT2_525
88,CRC11_PT2_495
89,CRC11_PT2_495
90,CRC11_PT2_488
91,CRC11_PT2_475
92,CRC11_LN1_326
93,CRC11_PT4_742
94,CRC11_PT2_494
95,CRC11_PT2_525
96,CRC11_PT3_781
97,CRC11_PT2_504
98,CRC11_PT2_494
99,CRC11_PT2_488
100,CRC11_PT2_480
101,CRC11_PT2_486
102,CRC11_PT4_742
103,CRC11_PT2_480
104,CRC11_PT2_481
105,CRC11_PT4_742
106,CRC11_PT2_506
107,CRC11_PT2_508
108,CRC11_PT3_787
109,CRC11_PT2_525
110,CRC11_PT2_495
111,CRC11_PT3_781
112,CRC11_LN1_326
113,CRC11_PT2_481
114,CRC11_PT3_781
115,CRC11_PT2_479
116,CRC11_PT2_488
117,CRC11_PT2_494
118,CRC11_PT2_495
119,CRC11_PT2_480
120,CRC11_PT2_488
121,CRC11_PT2_481
122,CRC11_PT2_485
123,CRC11_PT2_486
124,CRC11_PT2_494
125,CRC11_LN1_326
126,CRC11_PT2_479
127,CRC11_PT2_504
128,CRC11_PT3_781
129,CRC11_PT3_781
130,CRC11_PT2_488
131,CRC11_PT2_504
132,CRC11_PT2_528
133,CRC11_LN1_326
134,CRC11_PT2_475
135,CRC11_PT4_742
136,CRC11_PT2_525
137,CRC11_PT2_480
138,CRC11_LN1_326
139,CRC11_PT2_525
140,CRC11_PT2_486
141,CRC11_PT2_486
142,CRC11_PT2_479
143,CRC11_PT2_508
144,CRC11_PT2_506
145,CRC11_PT2_488
146,CRC11_PT2_525
147,CRC11_PT2_494
148,CRC11_PT2_506
149,CRC11_PT2_508
150,CRC11_PT2_506
151,CRC11_PT2_481
152,CRC11_PT2_488
153,CRC11_PT2_488
154,CRC11_PT2_525
155,CRC11_PT2_481
156,CRC11_PT3_787
157,CRC11_LN1_326
158,CRC11_PT2_525
159,CRC11_PT2_504
160,CRC11_PT4_742
161,CRC11_PT2_488
162,CRC11_PT2_504
163,CRC11_LN1_326
164,CRC11_PT2_508
165,CRC11_PT2_475
166,CRC11_PT2_495
167,CRC11_PT2_475
168,CRC11_PT2_479
169,CRC11_PT2_508
170,CRC11_PT2_488
171,CRC11_PT2_479
172,CRC11_PT2_504
173,CRC11_LN1_326
174,CRC11_PT2_495
175,CRC11_PT2_486
176,CRC11_PT2_479
177,CRC11_PT2_488
178,CRC11_PT2_488
179,CRC11_PT3_787
180,CRC11_PT3_781
181,CRC11_PT2_485
182,CRC11_PT4_742
183,CRC11_PT2_504
184,CRC11_PT3_787
185,CRC11_PT2_485
186,CRC11_PT2_525
187,CRC11_PT4_742
188,CRC11_PT2_475
189,CRC11_PT2_504
190,CRC11_LN1_326
191,CRC11_PT2_488
192,CRC11_LN1_326
193,CRC11_PT4_742
194,CRC11_PT2_528
195,CRC11_PT2_525
196,CRC11_PT2_506
197,CRC11_PT2_486
198,CRC11_PT2_525
199,CRC11_PT3_781
200,CRC11_PT2_495
201,CRC11_PT2_479
202,CRC11_PT2_488
203,CRC11_PT2_485
204,CRC11_PT2_481
205,CRC11_PT2_485
206,CRC11_PT2_494
207,CRC11_PT2_525
208,CRC11_NC_396
209,CRC11_NC_409
210,CRC11_NC_412
211,CRC11_NC_406
212,CRC11_NC_407
213,CRC11_NC_409
214,CRC11_NC_396
215,CRC11_NC_415
216,CRC11_NC_389
217,CRC11_NC_416
218,CRC11_NC_390
219,CRC11_NC_412
220,CRC11_NC_405
221,CRC11_NC_413
222,CRC11_NC_404
223,CRC11_NC_418
224,CRC11_NC_420
225,CRC11_NC_396
226,CRC11_NC_418
227,CRC11_NC_420
228,CRC11_NC_409
229,CRC11_NC_408
230,CRC11_NC_414
231,CRC11_NC_418
232,CRC11_NC_395
233,CRC11_NC_423
234,CRC11_NC_423
235,CRC11_NC_407
236,CRC11_NC_417
237,CRC11_NC_423
238,CRC11_NC_389
239,CRC11_NC_422
240,CRC11_NC_413
241,CRC11_NC_407
242,CRC11_NC_407
243,CRC11_NC_405
244,CRC11_NC_422
245,CRC11_NC_390
246,CRC11_NC_389
247,CRC11_NC_417
248,CRC11_NC_406
