,cell_ID
0,CRC04_LN1_349
1,CRC04_LN1_350
2,CRC04_LN1_351
3,CRC04_LN1_352
4,CRC04_LN1_353
5,CRC04_LN1_354
6,CRC04_LN1_355
7,CRC04_LN1_356
8,CRC04_LN1_357
9,CRC04_LN1_358
10,CRC04_LN1_360
11,CRC04_LN1_361
12,CRC04_LN1_362
13,CRC04_LN1_363
14,CRC04_LN1_364
15,CRC04_LN1_377
16,CRC04_LN1_378
17,CRC04_LN1_380
18,CRC04_LN1_381
19,CRC04_LN1_401
20,CRC04_LN1_402
21,CRC04_LN1_403
22,CRC04_LN2_465
23,CRC04_LN2_468
24,CRC04_LN2_469
25,CRC04_LN2_476
26,CRC04_LN2_477
27,CRC04_LN2_480
28,CRC04_LN2_481
29,CRC04_LN2_483
30,CRC04_LN2_484
31,CRC04_LN2_485
32,CRC04_LN2_486
33,CRC04_LN2_491
34,CRC04_LN2_492
35,CRC04_NC_297
36,CRC04_NC_301
37,CRC04_NC_303
38,CRC04_NC_304
39,CRC04_NC_305
40,CRC04_NC_306
41,CRC04_NC_307
42,CRC04_NC_310
43,CRC04_NC_311
44,CRC04_NC_312
45,CRC04_NC_313
46,CRC04_NC_315
47,CRC04_NC_317
48,CRC04_PT1_596
49,CRC04_PT2_533
50,CRC04_PT2_534
51,CRC04_PT2_537
52,CRC04_PT2_540
53,CRC04_PT2_541
54,CRC04_PT2_543
55,CRC04_PT2_544
56,CRC04_PT2_546
57,CRC04_PT2_548
58,CRC04_PT2_549
59,CRC04_PT2_551
60,CRC04_PT2_552
61,CRC04_PT2_559
62,CRC04_PT2_561
63,CRC04_PT2_562
64,CRC04_PT2_563
65,CRC04_PT2_564
66,CRC04_PT3_742
67,CRC04_PT3_755
68,CRC04_PT4_509
69,CRC04_PT4_515
70,CRC04_PT4_516
71,CRC04_PT4_517
72,CRC04_PT4_526
73,CRC04_PT4_531
74,CRC04_PT5_701
75,CRC04_PT5_702
76,CRC04_PT5_703
77,CRC04_PT5_709
78,CRC04_PT5_711
79,CRC04_PT5_712
80,CRC04_PT5_714
81,CRC04_PT5_716
82,CRC04_PT5_717
83,CRC04_PT5_720
84,CRC04_PT5_721
85,CRC04_PT5_722
86,CRC04_PT5_724
87,CRC04_PT5_725
88,CRC04_PT5_726
89,CRC04_PT5_728
90,CRC04_PT5_729
91,CRC04_PT5_730
92,CRC04_PT5_731
