,cell_ID
0,CRC04_PT2_537
1,CRC04_LN3_337
2,CRC04_LN2_476
3,CRC04_LN2_475
4,CRC04_LN2_481
5,CRC04_PT2_555
6,CRC04_LN2_496
7,CRC04_LN2_489
8,CRC04_PT5_701
9,CRC04_LN2_486
10,CRC04_LN1_349
11,CRC04_LN2_466
12,CRC04_LN1_354
13,CRC04_LN1_374
14,CRC04_PT2_548
15,CRC04_PT5_724
16,CRC04_LN2_492
17,CRC04_NC_429
18,CRC04_LN2_473
19,CRC04_LN1_376
20,CRC04_LN2_479
21,CRC04_PT5_725
22,CRC04_PT5_722
23,CRC04_LN1_364
24,CRC04_PT5_706
25,CRC04_LN1_369
26,CRC04_LN1_367
27,CRC04_LN3_330
28,CRC04_PT5_703
29,CRC04_PT2_544
30,CRC04_LN1_352
31,CRC04_LN1_378
32,CRC04_LN2_470
33,CRC04_LN1_375
34,CRC04_PT2_541
35,CRC04_LN2_495
36,CRC04_LN1_353
37,CRC04_PT5_712
38,CRC04_LN2_465
39,CRC04_LN1_360
40,CRC04_LN1_350
41,CRC04_PT5_728
42,CRC04_PT2_546
43,CRC04_LN1_351
44,CRC04_LN2_484
45,CRC04_LN1_366
46,CRC04_LN2_494
47,CRC04_LN2_468
48,CRC04_LN1_356
49,CRC04_LN1_373
50,CRC04_LN2_477
51,CRC04_LN1_372
52,CRC04_PT5_726
53,CRC04_LN2_472
54,CRC04_LN2_488
55,CRC04_LN1_371
56,CRC04_LN1_368
57,CRC04_LN2_485
58,CRC04_LN2_469
59,CRC04_LN1_381
60,CRC04_PT2_538
61,CRC04_LN2_480
62,CRC04_LN1_362
63,CRC04_PT2_533
64,CRC04_PT2_559
65,CRC04_LN1_377
66,CRC04_LN1_361
67,CRC04_LN2_464
68,CRC04_PT5_717
69,CRC04_NC_426
70,CRC04_LN2_490
71,CRC04_LN1_380
72,CRC04_LN1_365
73,CRC04_LN1_401
74,CRC04_LN1_403
75,CRC04_LN4_451
76,CRC04_PT5_729
77,CRC04_PT5_727
78,CRC04_PT5_714
79,CRC04_LN1_358
80,CRC04_PT2_562
81,CRC04_LN1_355
82,CRC04_LN2_493
83,CRC04_LN2_474
84,CRC04_PT5_730
85,CRC04_PT5_709
86,CRC04_LN1_363
87,CRC04_PT5_716
88,CRC04_PT2_549
89,CRC04_LN2_487
90,CRC04_LN1_357
91,CRC04_PT2_540
92,CRC04_LN1_402
