,cell_ID
0,CRC10_NC_206
1,CRC10_LN1_030
2,CRC10_LN1_021
3,CRC10_LN1_043
4,CRC10_NC_205
5,CRC10_LN3_066
6,CRC10_NC_205
7,CRC10_PT3_111
8,CRC10_PT3_137
9,CRC10_LN3_059
10,CRC10_PT3_136
11,CRC10_PT4_747
12,CRC10_LN3_057
13,CRC10_PT3_123
14,CRC10_LN1_048
15,CRC10_LN3_057
16,CRC10_PT3_142
17,CRC10_PT3_106
18,CRC10_LN1_035
19,CRC10_PT1_189
20,CRC10_PT3_137
21,CRC10_PT3_112
22,CRC10_LN1_031
23,CRC10_PT3_108
24,CRC10_LN1_004
25,CRC10_PT3_145
26,CRC10_PT3_121
27,CRC10_LN1_026
28,CRC10_LN3_053
29,CRC10_PT3_127
30,CRC10_PT3_108
31,CRC10_PT3_130
32,CRC10_PT3_138
33,CRC10_PT3_122
34,CRC10_LN3_058
35,CRC10_PT3_121
36,CRC10_PT3_119
37,CRC10_PT3_128
38,CRC10_PT3_132
39,CRC10_LN3_080
40,CRC10_PT3_122
41,CRC10_PT3_143
42,CRC10_PT4_739
43,CRC10_PT1_160
44,CRC10_LN1_020
45,CRC10_LN1_037
46,CRC10_PT3_136
47,CRC10_PT3_142
48,CRC10_PT4_747
49,CRC10_PT3_112
50,CRC10_LN1_015
51,CRC10_PT3_132
52,CRC10_LN3_050
53,CRC10_LN3_065
54,CRC10_PT3_108
55,CRC10_PT3_141
56,CRC10_LN3_057
57,CRC10_LN1_038
58,CRC10_PT1_149
59,CRC10_LN1_008
60,CRC10_LN1_007
61,CRC10_LN1_018
62,CRC10_LN1_047
63,CRC10_LN1_023
64,CRC10_LN1_047
65,CRC10_LN1_028
66,CRC10_LN1_023
67,CRC10_LN1_018
68,CRC10_LN1_017
69,CRC10_LN1_008
70,CRC10_PT1_175
71,CRC10_LN1_018
72,CRC10_LN1_032
73,CRC10_LN1_003
74,CRC10_LN1_029
75,CRC10_LN1_017
76,CRC10_LN1_032
77,CRC10_LN1_011
78,CRC10_PT4_738
79,CRC10_LN1_013
80,CRC10_LN1_025
81,CRC10_PT4_734
82,CRC10_PT4_738
83,CRC10_PT4_738
84,CRC10_PT4_738
85,CRC10_PT4_738
86,CRC10_LN1_013
87,CRC10_LN1_025
88,CRC10_PT4_734
89,CRC10_PT4_738
90,CRC10_LN1_013
91,CRC10_LN1_025
92,CRC10_PT4_734
93,CRC10_PT4_734
94,CRC10_PT4_734
95,CRC10_LN1_013
96,CRC10_PT4_738
97,CRC10_PT4_734
98,CRC10_LN1_013
99,CRC10_LN1_013
100,CRC10_PT4_738
101,CRC10_PT4_738
102,CRC10_LN1_013
103,CRC10_LN1_013
104,CRC10_PT4_738
105,CRC10_PT4_738
106,CRC10_PT4_734
107,CRC10_PT4_734
108,CRC10_PT4_738
109,CRC10_LN1_013
110,CRC10_LN1_013
111,CRC10_PT4_738
112,CRC10_LN1_025
113,CRC10_LN1_013
114,CRC10_LN1_013
115,CRC10_PT4_738
116,CRC10_LN1_025
117,CRC10_LN1_013
118,CRC10_PT4_738
119,CRC10_LN1_025
120,CRC10_LN1_013
121,CRC10_PT4_734
122,CRC10_LN1_013
