,dat_type,accuracy,clone_0,clone_1,clone_2,clone_3
0,original,0.9425287356321839,231,13,4,1
1,resampled,0.29310344827586204,55,81,49,64
2,resampled,0.3333333333333333,64,144,0,41
3,resampled,0.3563218390804598,78,2,103,66
4,resampled,0.29310344827586204,52,106,22,69
5,resampled,0.47126436781609193,93,31,95,30
6,resampled,0.09770114942528736,12,110,8,119
7,resampled,0.5919540229885057,132,22,93,2
8,resampled,0.08620689655172414,11,114,37,87
9,resampled,0.3620689655172414,67,96,63,23
10,resampled,0.04597701149425287,0,114,115,20
