,cell_ID
0,CRC10_LN1_025
1,CRC10_PT3_118
2,CRC10_PT3_146
3,CRC10_LN1_025
4,CRC10_LN1_013
5,CRC10_PT3_143
6,CRC10_PT3_123
7,CRC10_PT3_123
8,CRC10_PT3_135
9,CRC10_PT4_738
10,CRC10_LN1_025
11,CRC10_LN3_062
12,CRC10_PT3_130
13,CRC10_PT1_155
14,CRC10_PT4_740
15,CRC10_PT1_189
16,CRC10_PT3_122
17,CRC10_PT3_145
18,CRC10_PT3_146
19,CRC10_PT3_118
20,CRC10_PT3_138
21,CRC10_LN1_025
22,CRC10_PT3_138
23,CRC10_PT3_135
24,CRC10_PT4_738
25,CRC10_PT3_118
26,CRC10_PT1_150
27,CRC10_LN3_062
28,CRC10_LN1_013
29,CRC10_PT3_123
30,CRC10_PT3_145
31,CRC10_PT1_150
32,CRC10_PT3_144
33,CRC10_PT1_155
34,CRC10_PT4_740
35,CRC10_PT3_118
36,CRC10_PT1_150
37,CRC10_PT3_118
38,CRC10_LN1_013
39,CRC10_LN1_025
40,CRC10_LN3_049
41,CRC10_PT3_138
42,CRC10_PT3_135
43,CRC10_PT4_740
44,CRC10_PT3_138
45,CRC10_PT3_115
46,CRC10_PT4_738
47,CRC10_PT3_144
48,CRC10_PT3_145
49,CRC10_PT3_143
50,CRC10_PT1_189
51,CRC10_LN3_049
52,CRC10_PT4_738
53,CRC10_LN3_049
54,CRC10_PT3_143
55,CRC10_PT4_740
56,CRC10_PT3_122
57,CRC10_PT3_123
58,CRC10_PT4_738
59,CRC10_PT3_146
60,CRC10_PT4_740
61,CRC10_NC_205
62,CRC10_NC_206
63,CRC10_PT1_175
64,CRC10_NC_206
65,CRC10_LN1_005
66,CRC10_NC_206
67,CRC10_NC_204
68,CRC10_LN1_018
69,CRC10_NC_201
70,CRC10_PT1_175
71,CRC10_NC_205
72,CRC10_LN1_005
73,CRC10_LN1_003
74,CRC10_LN1_032
75,CRC10_PT1_175
76,CRC10_LN1_023
77,CRC10_PT1_175
78,CRC10_LN1_023
79,CRC10_PT1_175
80,CRC10_LN1_028
81,CRC10_NC_202
82,CRC10_NC_206
83,CRC10_PT1_175
84,CRC10_LN1_005
85,CRC10_PT1_175
86,CRC10_LN1_007
87,CRC10_LN1_024
88,CRC10_LN1_010
89,CRC10_NC_203
90,CRC10_LN1_011
91,CRC10_PT1_149
92,CRC10_LN1_021
93,CRC10_LN1_047
94,CRC10_PT1_175
95,CRC10_NC_201
96,CRC10_LN1_018
97,CRC10_LN1_029
98,CRC10_LN1_005
99,CRC10_LN1_029
100,CRC10_LN1_028
101,CRC10_NC_206
102,CRC10_NC_206
103,CRC10_NC_202
104,CRC10_LN1_018
105,CRC10_LN1_008
106,CRC10_NC_205
107,CRC10_LN1_007
108,CRC10_NC_204
109,CRC10_LN1_003
110,CRC10_LN1_023
111,CRC10_PT1_175
112,CRC10_LN1_047
113,CRC10_LN1_008
114,CRC10_LN1_042
115,CRC10_LN1_010
116,CRC10_NC_204
117,CRC10_PT1_175
118,CRC10_NC_203
119,CRC10_LN1_018
120,CRC10_LN1_008
121,CRC10_LN1_018
122,CRC10_LN1_003
