,cell_ID
0,CRC11_PT4_712
1,CRC11_PT4_736
2,CRC11_PT1_457
3,CRC11_LN1_320
4,CRC11_PT1_435
5,CRC11_PT4_714
6,CRC11_PT4_741
7,CRC11_LN1_388
8,CRC11_PT1_453
9,CRC11_LN1_321
10,CRC11_PT4_747
11,CRC11_PT1_467
12,CRC11_PT1_447
13,CRC11_LN1_363
14,CRC11_PT3_794
15,CRC11_LN1_301
16,CRC11_PT4_701
17,CRC11_PT1_449
18,CRC11_PT1_438
19,CRC11_PT1_452
20,CRC11_LN1_342
21,CRC11_LN1_344
22,CRC11_LN1_323
23,CRC11_LN1_375
24,CRC11_PT4_724
25,CRC11_PT2_525
26,CRC11_LN1_337
27,CRC11_LN1_350
28,CRC11_PT3_795
29,CRC11_PT3_770
30,CRC11_PT1_461
31,CRC11_PT3_757
32,CRC11_LN1_387
33,CRC11_PT1_459
34,CRC11_PT4_744
35,CRC11_LN1_347
36,CRC11_PT1_536
37,CRC11_PT3_776
38,CRC11_PT4_716
39,CRC11_PT4_746
40,CRC11_PT4_748
41,CRC11_PT1_441
42,CRC11_PT3_789
43,CRC11_PT4_721
44,CRC11_PT1_454
45,CRC11_PT4_720
46,CRC11_PT3_781
47,CRC11_LN1_302
48,CRC11_PT1_468
49,CRC11_LN1_326
50,CRC11_PT3_762
51,CRC11_PT1_428
52,CRC11_LN1_303
53,CRC11_PT1_455
54,CRC11_PT3_779
55,CRC11_PT4_742
56,CRC11_PT4_740
57,CRC11_LN1_327
58,CRC11_PT1_429
59,CRC11_PT3_755
60,CRC11_LN1_378
61,CRC11_PT4_731
62,CRC11_PT1_430
63,CRC11_LN1_360
64,CRC11_PT4_715
65,CRC11_PT3_769
66,CRC11_PT3_772
67,CRC11_PT3_749
68,CRC11_PT1_427
69,CRC11_PT2_485
70,CRC11_PT4_703
71,CRC11_PT4_727
72,CRC11_LN1_362
73,CRC11_PT3_796
74,CRC11_PT1_444
75,CRC11_PT1_542
76,CRC11_PT1_445
77,CRC11_LN1_324
78,CRC11_PT3_778
79,CRC11_LN1_348
80,CRC11_PT3_774
81,CRC11_PT1_537
82,CRC11_PT3_785
83,CRC11_LN1_308
84,CRC11_PT3_786
85,CRC11_PT1_464
86,CRC11_PT1_465
87,CRC11_LN1_351
88,CRC11_LN1_339
89,CRC11_PT3_756
90,CRC11_PT1_535
91,CRC11_LN1_383
92,CRC11_PT1_426
93,CRC11_PT4_739
94,CRC11_PT3_766
95,CRC11_PT1_437
96,CRC11_LN1_319
97,CRC11_LN1_359
98,CRC11_PT1_469
99,CRC11_LN1_304
100,CRC11_PT3_759
101,CRC11_PT4_725
102,CRC11_PT4_713
103,CRC11_LN1_343
104,CRC11_PT1_540
105,CRC11_PT3_787
106,CRC11_PT1_470
107,CRC11_PT3_791
108,CRC11_LN1_346
109,CRC11_PT2_508
110,CRC11_PT1_456
111,CRC11_PT4_710
112,CRC11_PT4_708
113,CRC11_PT4_730
114,CRC11_PT4_718
115,CRC11_PT3_758
116,CRC11_PT3_788
117,CRC11_PT1_533
118,CRC11_LN1_325
119,CRC11_LN1_314
120,CRC11_PT1_434
121,CRC11_PT4_726
122,CRC11_PT4_735
123,CRC11_PT1_431
124,CRC11_LN1_310
125,CRC11_PT1_442
126,CRC11_LN1_336
127,CRC11_LN1_340
128,CRC11_LN1_332
129,CRC11_LN1_370
130,CRC11_PT1_446
131,CRC11_LN1_361
132,CRC11_LN1_315
133,CRC11_LN1_386
134,CRC11_PT1_466
135,CRC11_LN1_333
136,CRC11_LN1_329
137,CRC11_PT1_450
138,CRC11_LN1_358
139,CRC11_PT4_733
140,CRC11_PT1_433
141,CRC11_PT4_737
142,CRC11_PT1_425
143,CRC11_LN1_318
144,CRC11_LN1_384
145,CRC11_LN1_385
146,CRC11_LN1_334
147,CRC11_LN1_381
148,CRC11_PT1_534
149,CRC11_PT3_752
150,CRC11_PT4_702
151,CRC11_PT3_790
152,CRC11_PT1_440
153,CRC11_LN1_364
154,CRC11_PT4_707
155,CRC11_PT1_463
156,CRC11_PT4_717
157,CRC11_LN1_369
158,CRC11_PT4_709
159,CRC11_LN1_330
160,CRC11_LN1_373
161,CRC11_PT4_723
162,CRC11_PT4_745
163,CRC11_PT2_504
164,CRC11_LN1_338
165,CRC11_PT3_764
166,CRC11_PT4_711
167,CRC11_PT1_443
168,CRC11_LN1_345
169,CRC11_PT1_448
170,CRC11_LN1_357
171,CRC11_PT3_760
172,CRC11_LN1_355
173,CRC11_PT4_722
174,CRC11_PT3_792
175,CRC11_LN1_372
176,CRC11_PT4_706
177,CRC11_PT2_496
178,CRC11_LN1_366
179,CRC11_LN1_377
180,CRC11_LN1_313
181,CRC11_PT1_458
182,CRC11_PT1_439
183,CRC11_PT3_773
184,CRC11_PT2_486
185,CRC11_LN1_316
186,CRC11_PT1_436
187,CRC11_PT1_451
188,CRC11_PT1_472
189,CRC11_LN1_335
190,CRC11_PT3_763
191,CRC11_PT4_704
