,cell_ID
0,CRC04_LN1_352
1,CRC04_LN1_402
2,CRC04_LN1_354
3,CRC04_LN2_477
4,CRC04_LN1_357
5,CRC04_LN1_401
6,CRC04_LN1_403
7,CRC04_LN1_360
8,CRC04_LN2_480
9,CRC04_LN1_363
10,CRC04_LN1_358
11,CRC04_LN1_377
12,CRC04_LN2_483
13,CRC04_LN2_492
14,CRC04_LN1_381
15,CRC04_LN1_364
16,CRC04_PT4_531
17,CRC04_LN2_483
18,CRC04_LN1_358
19,CRC04_LN1_353
20,CRC04_LN1_356
21,CRC04_LN2_477
22,CRC04_LN1_351
23,CRC04_PT4_531
24,CRC04_LN1_358
25,CRC04_PT4_516
26,CRC04_NC_304
27,CRC04_PT2_544
28,CRC04_PT5_726
29,CRC04_PT5_714
30,CRC04_NC_306
31,CRC04_PT2_559
32,CRC04_NC_311
33,CRC04_PT2_543
34,CRC04_PT5_712
35,CRC04_PT5_725
36,CRC04_PT5_721
37,CRC04_PT2_546
38,CRC04_PT5_726
39,CRC04_PT5_729
40,CRC04_NC_313
41,CRC04_PT2_561
42,CRC04_PT5_720
43,CRC04_PT1_596
44,CRC04_NC_312
45,CRC04_PT2_534
46,CRC04_PT2_563
47,CRC04_PT4_526
48,CRC04_PT2_541
49,CRC04_PT2_533
50,CRC04_PT5_709
51,CRC04_PT2_563
52,CRC04_NC_312
53,CRC04_PT5_729
54,CRC04_NC_305
55,CRC04_PT5_731
56,CRC04_PT5_731
57,CRC04_NC_310
58,CRC04_PT5_716
59,CRC04_PT5_714
60,CRC04_PT2_559
61,CRC04_NC_303
62,CRC04_PT5_709
63,CRC04_NC_312
64,CRC04_PT5_703
65,CRC04_PT5_722
66,CRC04_PT2_540
67,CRC04_PT5_717
68,CRC04_PT2_534
69,CRC04_PT2_562
70,CRC04_PT2_561
71,CRC04_PT5_717
72,CRC04_PT2_548
73,CRC04_PT3_742
74,CRC04_PT2_544
75,CRC04_PT5_721
76,CRC04_PT2_546
77,CRC04_NC_311
78,CRC04_PT2_562
79,CRC04_PT2_562
80,CRC04_PT3_742
81,CRC04_PT5_724
82,CRC04_NC_313
83,CRC04_NC_297
84,CRC04_NC_310
85,CRC04_PT5_721
86,CRC04_NC_303
87,CRC04_PT5_709
88,CRC04_NC_310
89,CRC04_PT3_742
90,CRC04_PT5_702
91,CRC04_PT2_552
92,CRC04_PT5_709
