,predict,cell
CRC04_PT5_703,1,CRC04_PT5_703
CRC04_LN1_401,0,CRC04_LN1_401
CRC04_PT2_544,1,CRC04_PT2_544
CRC04_LN2_468,0,CRC04_LN2_468
CRC04_LN2_469,0,CRC04_LN2_469
CRC04_LN2_481,1,CRC04_LN2_481
CRC04_PT2_549,1,CRC04_PT2_549
CRC04_LN2_477,1,CRC04_LN2_477
CRC04_PT2_562,1,CRC04_PT2_562
CRC04_PT5_722,1,CRC04_PT5_722
CRC04_PT5_725,1,CRC04_PT5_725
CRC04_LN1_357,0,CRC04_LN1_357
CRC04_PT5_717,1,CRC04_PT5_717
CRC04_PT5_729,1,CRC04_PT5_729
CRC04_LN2_480,0,CRC04_LN2_480
CRC04_LN2_492,1,CRC04_LN2_492
CRC04_LN2_486,0,CRC04_LN2_486
CRC04_PT2_546,1,CRC04_PT2_546
CRC04_LN2_484,0,CRC04_LN2_484
CRC04_LN1_358,0,CRC04_LN1_358
CRC04_LN1_355,1,CRC04_LN1_355
CRC04_LN1_352,1,CRC04_LN1_352
CRC04_LN1_402,0,CRC04_LN1_402
CRC04_PT2_533,1,CRC04_PT2_533
CRC04_PT5_709,1,CRC04_PT5_709
CRC04_PT5_724,1,CRC04_PT5_724
CRC04_LN1_350,0,CRC04_LN1_350
CRC04_PT2_537,1,CRC04_PT2_537
CRC04_PT5_714,1,CRC04_PT5_714
CRC04_PT5_701,1,CRC04_PT5_701
CRC04_PT2_541,1,CRC04_PT2_541
CRC04_LN1_361,0,CRC04_LN1_361
CRC04_LN1_380,1,CRC04_LN1_380
CRC04_PT5_712,1,CRC04_PT5_712
CRC04_LN1_356,0,CRC04_LN1_356
CRC04_LN1_354,0,CRC04_LN1_354
CRC04_LN1_377,1,CRC04_LN1_377
CRC04_PT5_716,1,CRC04_PT5_716
CRC04_LN2_476,1,CRC04_LN2_476
CRC04_LN1_360,0,CRC04_LN1_360
CRC04_LN1_381,0,CRC04_LN1_381
CRC04_LN1_351,0,CRC04_LN1_351
CRC04_PT5_726,1,CRC04_PT5_726
CRC04_PT5_730,1,CRC04_PT5_730
CRC04_PT2_559,1,CRC04_PT2_559
CRC04_LN1_363,0,CRC04_LN1_363
CRC04_LN1_353,0,CRC04_LN1_353
CRC04_LN1_364,0,CRC04_LN1_364
CRC04_PT5_728,1,CRC04_PT5_728
CRC04_PT2_548,1,CRC04_PT2_548
CRC04_PT2_540,1,CRC04_PT2_540
CRC04_LN2_465,0,CRC04_LN2_465
CRC04_LN1_362,0,CRC04_LN1_362
CRC04_LN1_403,0,CRC04_LN1_403
CRC04_LN1_378,0,CRC04_LN1_378
CRC04_LN2_485,0,CRC04_LN2_485
CRC04_LN1_349,1,CRC04_LN1_349
