"","predict","cell"
"1","1","CRC11_PT4_712"
"2","1","CRC11_PT4_736"
"3","0","CRC11_PT1_457"
"4","1","CRC11_LN1_320"
"5","1","CRC11_PT1_435"
"6","0","CRC11_PT4_714"
"7","1","CRC11_PT4_741"
"8","0","CRC11_LN1_388"
"9","0","CRC11_PT1_453"
"10","1","CRC11_LN1_321"
"11","0","CRC11_PT4_747"
"12","0","CRC11_PT1_467"
"13","1","CRC11_PT1_447"
"14","1","CRC11_LN1_363"
"15","1","CRC11_PT3_794"
"16","1","CRC11_LN1_301"
"17","0","CRC11_PT4_701"
"18","0","CRC11_PT1_449"
"19","0","CRC11_PT1_438"
"20","0","CRC11_PT1_452"
"21","0","CRC11_LN1_342"
"22","1","CRC11_LN1_344"
"23","1","CRC11_LN1_323"
"24","0","CRC11_LN1_375"
"25","1","CRC11_PT4_724"
"26","1","CRC11_PT2_525"
"27","0","CRC11_LN1_337"
"28","1","CRC11_LN1_350"
"29","0","CRC11_PT3_795"
"30","0","CRC11_PT3_770"
"31","0","CRC11_PT1_461"
"32","1","CRC11_PT3_757"
"33","1","CRC11_LN1_387"
"34","0","CRC11_PT1_459"
"35","0","CRC11_PT4_744"
"36","1","CRC11_LN1_347"
"37","1","CRC11_PT1_536"
"38","1","CRC11_PT3_776"
"39","1","CRC11_PT4_716"
"40","0","CRC11_PT4_746"
"41","1","CRC11_PT4_748"
"42","0","CRC11_PT1_441"
"43","1","CRC11_PT3_789"
"44","1","CRC11_PT4_721"
"45","1","CRC11_PT1_454"
"46","1","CRC11_PT4_720"
"47","0","CRC11_PT3_781"
"48","1","CRC11_LN1_302"
"49","0","CRC11_PT1_468"
"50","1","CRC11_LN1_326"
"51","1","CRC11_PT3_762"
"52","1","CRC11_PT1_428"
"53","1","CRC11_LN1_303"
"54","0","CRC11_PT1_455"
"55","1","CRC11_PT3_779"
"56","0","CRC11_PT4_742"
"57","0","CRC11_PT4_740"
"58","1","CRC11_LN1_327"
"59","1","CRC11_PT1_429"
"60","0","CRC11_PT3_755"
"61","1","CRC11_LN1_378"
"62","1","CRC11_PT4_731"
"63","1","CRC11_PT1_430"
"64","1","CRC11_LN1_360"
"65","0","CRC11_PT4_715"
"66","1","CRC11_PT3_769"
"67","1","CRC11_PT3_772"
"68","0","CRC11_PT3_749"
"69","1","CRC11_PT1_427"
"70","1","CRC11_PT2_485"
"71","1","CRC11_PT4_703"
"72","0","CRC11_PT4_727"
"73","0","CRC11_LN1_362"
"74","1","CRC11_PT3_796"
"75","1","CRC11_PT1_444"
"76","1","CRC11_PT1_542"
"77","0","CRC11_PT1_445"
"78","1","CRC11_LN1_324"
"79","1","CRC11_PT3_778"
"80","0","CRC11_LN1_348"
"81","1","CRC11_PT3_774"
"82","0","CRC11_PT1_537"
"83","1","CRC11_PT3_785"
"84","1","CRC11_LN1_308"
"85","1","CRC11_PT3_786"
"86","0","CRC11_PT1_464"
"87","0","CRC11_PT1_465"
"88","1","CRC11_LN1_351"
"89","0","CRC11_LN1_339"
"90","1","CRC11_PT3_756"
"91","1","CRC11_PT1_535"
"92","0","CRC11_LN1_383"
"93","0","CRC11_PT1_426"
"94","0","CRC11_PT4_739"
"95","1","CRC11_PT3_766"
"96","0","CRC11_PT1_437"
"97","1","CRC11_LN1_319"
"98","1","CRC11_LN1_359"
"99","1","CRC11_PT1_469"
"100","0","CRC11_LN1_304"
"101","1","CRC11_PT3_759"
"102","0","CRC11_PT4_725"
"103","1","CRC11_PT4_713"
"104","1","CRC11_LN1_343"
"105","0","CRC11_PT1_540"
"106","0","CRC11_PT3_787"
"107","1","CRC11_PT1_470"
"108","0","CRC11_PT3_791"
"109","1","CRC11_LN1_346"
"110","0","CRC11_PT2_508"
"111","0","CRC11_PT1_456"
"112","0","CRC11_PT4_710"
"113","1","CRC11_PT4_708"
"114","1","CRC11_PT4_730"
"115","1","CRC11_PT4_718"
"116","0","CRC11_PT3_758"
"117","1","CRC11_PT3_788"
"118","1","CRC11_PT1_533"
"119","0","CRC11_LN1_325"
"120","1","CRC11_LN1_314"
"121","1","CRC11_PT1_434"
"122","1","CRC11_PT4_726"
"123","0","CRC11_PT4_735"
"124","0","CRC11_PT1_431"
"125","1","CRC11_LN1_310"
"126","1","CRC11_PT1_442"
"127","1","CRC11_LN1_336"
"128","1","CRC11_LN1_340"
"129","1","CRC11_LN1_332"
"130","1","CRC11_LN1_370"
"131","0","CRC11_PT1_446"
"132","1","CRC11_LN1_361"
"133","0","CRC11_LN1_315"
"134","0","CRC11_LN1_386"
"135","0","CRC11_PT1_466"
"136","1","CRC11_LN1_333"
"137","1","CRC11_LN1_329"
"138","0","CRC11_PT1_450"
"139","1","CRC11_LN1_358"
"140","1","CRC11_PT4_733"
"141","1","CRC11_PT1_433"
"142","1","CRC11_PT4_737"
"143","0","CRC11_PT1_425"
"144","0","CRC11_LN1_318"
"145","0","CRC11_LN1_384"
"146","1","CRC11_LN1_385"
"147","1","CRC11_LN1_334"
"148","0","CRC11_LN1_381"
"149","0","CRC11_PT1_534"
"150","0","CRC11_PT3_752"
"151","1","CRC11_PT4_702"
"152","1","CRC11_PT3_790"
"153","1","CRC11_PT1_440"
"154","1","CRC11_LN1_364"
"155","0","CRC11_PT4_707"
"156","1","CRC11_PT1_463"
"157","1","CRC11_PT4_717"
"158","1","CRC11_LN1_369"
"159","0","CRC11_PT4_709"
"160","1","CRC11_LN1_330"
"161","1","CRC11_LN1_373"
"162","1","CRC11_PT4_723"
"163","1","CRC11_PT4_745"
"164","0","CRC11_PT2_504"
"165","0","CRC11_LN1_338"
"166","1","CRC11_PT3_764"
"167","1","CRC11_PT4_711"
"168","1","CRC11_PT1_443"
"169","1","CRC11_LN1_345"
"170","1","CRC11_PT1_448"
"171","1","CRC11_LN1_357"
"172","1","CRC11_PT3_760"
"173","1","CRC11_LN1_355"
"174","0","CRC11_PT4_722"
"175","1","CRC11_PT3_792"
"176","1","CRC11_LN1_372"
"177","1","CRC11_PT4_706"
"178","0","CRC11_PT2_496"
"179","1","CRC11_LN1_366"
"180","1","CRC11_LN1_377"
"181","1","CRC11_LN1_313"
"182","1","CRC11_PT1_458"
"183","1","CRC11_PT1_439"
"184","1","CRC11_PT3_773"
"185","1","CRC11_PT2_486"
"186","1","CRC11_LN1_316"
"187","0","CRC11_PT1_436"
"188","1","CRC11_PT1_451"
"189","1","CRC11_PT1_472"
"190","0","CRC11_LN1_335"
"191","0","CRC11_PT3_763"
"192","0","CRC11_PT4_704"
