"","predict","cell"
"CRC11_PT4_712","3","CRC11_PT4_712"
"CRC11_PT4_736","3","CRC11_PT4_736"
"CRC11_PT1_457","3","CRC11_PT1_457"
"CRC11_LN1_320","3","CRC11_LN1_320"
"CRC11_PT1_435","3","CRC11_PT1_435"
"CRC11_PT4_714","3","CRC11_PT4_714"
"CRC11_PT4_741","3","CRC11_PT4_741"
"CRC11_LN1_388","3","CRC11_LN1_388"
"CRC11_PT1_453","3","CRC11_PT1_453"
"CRC11_LN1_321","3","CRC11_LN1_321"
"CRC11_PT4_747","3","CRC11_PT4_747"
"CRC11_PT1_467","3","CRC11_PT1_467"
"CRC11_PT1_447","3","CRC11_PT1_447"
"CRC11_LN1_363","3","CRC11_LN1_363"
"CRC11_PT3_794","3","CRC11_PT3_794"
"CRC11_LN1_301","3","CRC11_LN1_301"
"CRC11_PT4_701","3","CRC11_PT4_701"
"CRC11_PT1_449","3","CRC11_PT1_449"
"CRC11_PT1_438","3","CRC11_PT1_438"
"CRC11_PT1_452","3","CRC11_PT1_452"
"CRC11_LN1_342","3","CRC11_LN1_342"
"CRC11_LN1_344","3","CRC11_LN1_344"
"CRC11_LN1_323","3","CRC11_LN1_323"
"CRC11_LN1_375","3","CRC11_LN1_375"
"CRC11_PT4_724","3","CRC11_PT4_724"
"CRC11_PT2_525","3","CRC11_PT2_525"
"CRC11_LN1_337","3","CRC11_LN1_337"
"CRC11_LN1_350","3","CRC11_LN1_350"
"CRC11_PT3_795","3","CRC11_PT3_795"
"CRC11_PT3_770","3","CRC11_PT3_770"
"CRC11_PT1_461","3","CRC11_PT1_461"
"CRC11_PT3_757","3","CRC11_PT3_757"
"CRC11_LN1_387","3","CRC11_LN1_387"
"CRC11_PT1_459","3","CRC11_PT1_459"
"CRC11_PT4_744","3","CRC11_PT4_744"
"CRC11_LN1_347","3","CRC11_LN1_347"
"CRC11_PT1_536","3","CRC11_PT1_536"
"CRC11_PT3_776","3","CRC11_PT3_776"
"CRC11_PT4_716","3","CRC11_PT4_716"
"CRC11_PT4_746","3","CRC11_PT4_746"
"CRC11_PT4_748","3","CRC11_PT4_748"
"CRC11_PT1_441","3","CRC11_PT1_441"
"CRC11_PT3_789","3","CRC11_PT3_789"
"CRC11_PT4_721","3","CRC11_PT4_721"
"CRC11_PT1_454","3","CRC11_PT1_454"
"CRC11_PT4_720","3","CRC11_PT4_720"
"CRC11_PT3_781","3","CRC11_PT3_781"
"CRC11_LN1_302","3","CRC11_LN1_302"
"CRC11_PT1_468","3","CRC11_PT1_468"
"CRC11_LN1_326","3","CRC11_LN1_326"
"CRC11_PT3_762","3","CRC11_PT3_762"
"CRC11_PT1_428","3","CRC11_PT1_428"
"CRC11_LN1_303","3","CRC11_LN1_303"
"CRC11_PT1_455","3","CRC11_PT1_455"
"CRC11_PT3_779","3","CRC11_PT3_779"
"CRC11_PT4_742","3","CRC11_PT4_742"
"CRC11_PT4_740","3","CRC11_PT4_740"
"CRC11_LN1_327","3","CRC11_LN1_327"
"CRC11_PT1_429","3","CRC11_PT1_429"
"CRC11_PT3_755","3","CRC11_PT3_755"
"CRC11_LN1_378","3","CRC11_LN1_378"
"CRC11_PT4_731","3","CRC11_PT4_731"
"CRC11_PT1_430","3","CRC11_PT1_430"
"CRC11_LN1_360","3","CRC11_LN1_360"
"CRC11_PT4_715","3","CRC11_PT4_715"
"CRC11_PT3_769","3","CRC11_PT3_769"
"CRC11_PT3_772","3","CRC11_PT3_772"
"CRC11_PT3_749","3","CRC11_PT3_749"
"CRC11_PT1_427","3","CRC11_PT1_427"
"CRC11_PT2_485","3","CRC11_PT2_485"
"CRC11_PT4_703","3","CRC11_PT4_703"
"CRC11_PT4_727","3","CRC11_PT4_727"
"CRC11_LN1_362","3","CRC11_LN1_362"
"CRC11_PT3_796","3","CRC11_PT3_796"
"CRC11_PT1_444","3","CRC11_PT1_444"
"CRC11_PT1_542","3","CRC11_PT1_542"
"CRC11_PT1_445","3","CRC11_PT1_445"
"CRC11_LN1_324","3","CRC11_LN1_324"
"CRC11_PT3_778","3","CRC11_PT3_778"
"CRC11_LN1_348","3","CRC11_LN1_348"
"CRC11_PT3_774","3","CRC11_PT3_774"
"CRC11_PT1_537","3","CRC11_PT1_537"
"CRC11_PT3_785","3","CRC11_PT3_785"
"CRC11_LN1_308","3","CRC11_LN1_308"
"CRC11_PT3_786","3","CRC11_PT3_786"
"CRC11_PT1_464","3","CRC11_PT1_464"
"CRC11_PT1_465","3","CRC11_PT1_465"
"CRC11_LN1_351","3","CRC11_LN1_351"
"CRC11_LN1_339","3","CRC11_LN1_339"
"CRC11_PT3_756","3","CRC11_PT3_756"
"CRC11_PT1_535","3","CRC11_PT1_535"
"CRC11_LN1_383","3","CRC11_LN1_383"
"CRC11_PT1_426","3","CRC11_PT1_426"
"CRC11_PT4_739","3","CRC11_PT4_739"
"CRC11_PT3_766","3","CRC11_PT3_766"
"CRC11_PT1_437","3","CRC11_PT1_437"
"CRC11_LN1_319","3","CRC11_LN1_319"
"CRC11_LN1_359","3","CRC11_LN1_359"
"CRC11_PT1_469","3","CRC11_PT1_469"
"CRC11_LN1_304","3","CRC11_LN1_304"
"CRC11_PT3_759","3","CRC11_PT3_759"
"CRC11_PT4_725","3","CRC11_PT4_725"
"CRC11_PT4_713","3","CRC11_PT4_713"
"CRC11_LN1_343","3","CRC11_LN1_343"
"CRC11_PT1_540","3","CRC11_PT1_540"
"CRC11_PT3_787","3","CRC11_PT3_787"
"CRC11_PT1_470","3","CRC11_PT1_470"
"CRC11_PT3_791","3","CRC11_PT3_791"
"CRC11_LN1_346","3","CRC11_LN1_346"
"CRC11_PT2_508","3","CRC11_PT2_508"
