"","predict","cell"
"CRC04_PT2_537","1","CRC04_PT2_537"
"CRC04_LN3_337","1","CRC04_LN3_337"
"CRC04_LN2_476","1","CRC04_LN2_476"
"CRC04_LN2_475","1","CRC04_LN2_475"
"CRC04_LN2_481","1","CRC04_LN2_481"
"CRC04_PT2_555","1","CRC04_PT2_555"
"CRC04_LN2_496","1","CRC04_LN2_496"
"CRC04_LN2_489","1","CRC04_LN2_489"
"CRC04_PT5_701","1","CRC04_PT5_701"
"CRC04_LN2_486","1","CRC04_LN2_486"
"CRC04_LN1_349","1","CRC04_LN1_349"
"CRC04_LN2_466","1","CRC04_LN2_466"
"CRC04_LN1_354","1","CRC04_LN1_354"
"CRC04_LN1_374","1","CRC04_LN1_374"
"CRC04_PT2_548","1","CRC04_PT2_548"
"CRC04_PT5_724","1","CRC04_PT5_724"
"CRC04_LN2_492","1","CRC04_LN2_492"
"CRC04_NC_429","1","CRC04_NC_429"
"CRC04_LN2_473","1","CRC04_LN2_473"
"CRC04_LN1_376","1","CRC04_LN1_376"
"CRC04_LN2_479","1","CRC04_LN2_479"
"CRC04_PT5_725","1","CRC04_PT5_725"
"CRC04_PT5_722","1","CRC04_PT5_722"
"CRC04_LN1_364","1","CRC04_LN1_364"
"CRC04_PT5_706","1","CRC04_PT5_706"
"CRC04_LN1_369","1","CRC04_LN1_369"
"CRC04_LN1_367","1","CRC04_LN1_367"
"CRC04_LN3_330","1","CRC04_LN3_330"
"CRC04_PT5_703","1","CRC04_PT5_703"
"CRC04_PT2_544","1","CRC04_PT2_544"
"CRC04_LN1_352","1","CRC04_LN1_352"
"CRC04_LN1_378","1","CRC04_LN1_378"
"CRC04_LN2_470","1","CRC04_LN2_470"
"CRC04_LN1_375","1","CRC04_LN1_375"
"CRC04_PT2_541","1","CRC04_PT2_541"
"CRC04_LN2_495","1","CRC04_LN2_495"
"CRC04_LN1_353","1","CRC04_LN1_353"
"CRC04_PT5_712","1","CRC04_PT5_712"
"CRC04_LN2_465","1","CRC04_LN2_465"
"CRC04_LN1_360","1","CRC04_LN1_360"
"CRC04_LN1_350","1","CRC04_LN1_350"
"CRC04_PT5_728","1","CRC04_PT5_728"
"CRC04_PT2_546","1","CRC04_PT2_546"
"CRC04_LN1_351","1","CRC04_LN1_351"
"CRC04_LN2_484","1","CRC04_LN2_484"
"CRC04_LN1_366","1","CRC04_LN1_366"
"CRC04_LN2_494","1","CRC04_LN2_494"
"CRC04_LN2_468","1","CRC04_LN2_468"
"CRC04_LN1_356","1","CRC04_LN1_356"
"CRC04_LN1_373","1","CRC04_LN1_373"
"CRC04_LN2_477","1","CRC04_LN2_477"
"CRC04_LN1_372","1","CRC04_LN1_372"
"CRC04_PT5_726","1","CRC04_PT5_726"
"CRC04_LN2_472","1","CRC04_LN2_472"
"CRC04_LN2_488","1","CRC04_LN2_488"
"CRC04_LN1_371","1","CRC04_LN1_371"
"CRC04_LN1_368","1","CRC04_LN1_368"
"CRC04_LN2_485","1","CRC04_LN2_485"
"CRC04_LN2_469","1","CRC04_LN2_469"
"CRC04_LN1_381","1","CRC04_LN1_381"
"CRC04_PT2_538","1","CRC04_PT2_538"
"CRC04_LN2_480","1","CRC04_LN2_480"
"CRC04_LN1_362","1","CRC04_LN1_362"
"CRC04_PT2_533","1","CRC04_PT2_533"
"CRC04_PT2_559","1","CRC04_PT2_559"
"CRC04_LN1_377","1","CRC04_LN1_377"
"CRC04_LN1_361","1","CRC04_LN1_361"
"CRC04_LN2_464","1","CRC04_LN2_464"
"CRC04_PT5_717","1","CRC04_PT5_717"
"CRC04_NC_426","1","CRC04_NC_426"
"CRC04_LN2_490","1","CRC04_LN2_490"
"CRC04_LN1_380","1","CRC04_LN1_380"
"CRC04_LN1_365","1","CRC04_LN1_365"
"CRC04_LN1_401","1","CRC04_LN1_401"
"CRC04_LN1_403","1","CRC04_LN1_403"
"CRC04_LN4_451","1","CRC04_LN4_451"
"CRC04_PT5_729","1","CRC04_PT5_729"
"CRC04_PT5_727","1","CRC04_PT5_727"
"CRC04_PT5_714","1","CRC04_PT5_714"
"CRC04_LN1_358","1","CRC04_LN1_358"
"CRC04_PT2_562","1","CRC04_PT2_562"
"CRC04_LN1_355","1","CRC04_LN1_355"
"CRC04_LN2_493","1","CRC04_LN2_493"
"CRC04_LN2_474","1","CRC04_LN2_474"
"CRC04_PT5_730","1","CRC04_PT5_730"
"CRC04_PT5_709","1","CRC04_PT5_709"
"CRC04_LN1_363","1","CRC04_LN1_363"
"CRC04_PT5_716","1","CRC04_PT5_716"
"CRC04_PT2_549","1","CRC04_PT2_549"
"CRC04_LN2_487","1","CRC04_LN2_487"
"CRC04_LN1_357","1","CRC04_LN1_357"
"CRC04_PT2_540","1","CRC04_PT2_540"
"CRC04_LN1_402","1","CRC04_LN1_402"
