"","predict","cell"
"CRC10_PT3_126","1","CRC10_PT3_126"
"CRC10_LN1_030","1","CRC10_LN1_030"
"CRC10_LN1_042","1","CRC10_LN1_042"
"CRC10_PT3_103","0","CRC10_PT3_103"
"CRC10_LN1_006","1","CRC10_LN1_006"
"CRC10_PT3_107","1","CRC10_PT3_107"
"CRC10_PT3_145","1","CRC10_PT3_145"
"CRC10_PT3_141","1","CRC10_PT3_141"
"CRC10_PT3_109","0","CRC10_PT3_109"
"CRC10_LN1_041","1","CRC10_LN1_041"
"CRC10_PT4_738","1","CRC10_PT4_738"
"CRC10_LN1_003","1","CRC10_LN1_003"
"CRC10_PT3_118","0","CRC10_PT3_118"
"CRC10_LN1_039","1","CRC10_LN1_039"
"CRC10_PT3_105","0","CRC10_PT3_105"
"CRC10_PT3_114","0","CRC10_PT3_114"
"CRC10_LN1_035","1","CRC10_LN1_035"
"CRC10_LN1_017","0","CRC10_LN1_017"
"CRC10_LN1_046","1","CRC10_LN1_046"
"CRC10_PT3_138","1","CRC10_PT3_138"
"CRC10_LN1_011","0","CRC10_LN1_011"
"CRC10_LN1_019","1","CRC10_LN1_019"
"CRC10_LN1_026","1","CRC10_LN1_026"
"CRC10_LN1_008","0","CRC10_LN1_008"
"CRC10_PT3_111","0","CRC10_PT3_111"
"CRC10_PT3_119","1","CRC10_PT3_119"
"CRC10_LN1_028","1","CRC10_LN1_028"
"CRC10_LN2_287","0","CRC10_LN2_287"
"CRC10_LN1_044","1","CRC10_LN1_044"
"CRC10_LN1_029","1","CRC10_LN1_029"
"CRC10_PT3_125","1","CRC10_PT3_125"
"CRC10_PT4_740","1","CRC10_PT4_740"
"CRC10_LN1_016","1","CRC10_LN1_016"
"CRC10_LN3_070","0","CRC10_LN3_070"
"CRC10_PT3_122","0","CRC10_PT3_122"
"CRC10_PT3_127","0","CRC10_PT3_127"
"CRC10_PT3_110","1","CRC10_PT3_110"
"CRC10_LN1_047","1","CRC10_LN1_047"
"CRC10_LN1_024","0","CRC10_LN1_024"
"CRC10_PT3_104","0","CRC10_PT3_104"
"CRC10_LN1_040","0","CRC10_LN1_040"
"CRC10_LN1_014","1","CRC10_LN1_014"
"CRC10_PT3_128","0","CRC10_PT3_128"
"CRC10_LN1_010","1","CRC10_LN1_010"
"CRC10_LN1_033","0","CRC10_LN1_033"
"CRC10_PT1_154","1","CRC10_PT1_154"
"CRC10_PT4_745","0","CRC10_PT4_745"
"CRC10_PT3_147","1","CRC10_PT3_147"
"CRC10_LN1_015","1","CRC10_LN1_015"
"CRC10_LN1_038","1","CRC10_LN1_038"
"CRC10_PT4_748","1","CRC10_PT4_748"
"CRC10_PT3_115","0","CRC10_PT3_115"
"CRC10_LN1_031","1","CRC10_LN1_031"
"CRC10_PT3_106","1","CRC10_PT3_106"
"CRC10_PT3_101","1","CRC10_PT3_101"
"CRC10_PT3_113","0","CRC10_PT3_113"
"CRC10_PT3_124","1","CRC10_PT3_124"
"CRC10_PT3_140","0","CRC10_PT3_140"
"CRC10_PT1_165","0","CRC10_PT1_165"
"CRC10_LN1_021","1","CRC10_LN1_021"
"CRC10_LN1_018","1","CRC10_LN1_018"
"CRC10_PT3_117","0","CRC10_PT3_117"
"CRC10_PT3_112","1","CRC10_PT3_112"
"CRC10_LN1_048","1","CRC10_LN1_048"
"CRC10_PT3_108","0","CRC10_PT3_108"
"CRC10_PT3_131","1","CRC10_PT3_131"
"CRC10_LN3_073","1","CRC10_LN3_073"
"CRC10_LN1_007","0","CRC10_LN1_007"
"CRC10_PT3_137","0","CRC10_PT3_137"
"CRC10_LN1_025","1","CRC10_LN1_025"
"CRC10_PT3_102","0","CRC10_PT3_102"
"CRC10_PT1_160","1","CRC10_PT1_160"
"CRC10_PT1_155","0","CRC10_PT1_155"
"CRC10_PT1_156","0","CRC10_PT1_156"
"CRC10_PT3_135","0","CRC10_PT3_135"
"CRC10_PT3_133","1","CRC10_PT3_133"
"CRC10_PT3_136","1","CRC10_PT3_136"
"CRC10_PT1_175","0","CRC10_PT1_175"
"CRC10_PT1_157","1","CRC10_PT1_157"
"CRC10_PT2_244","1","CRC10_PT2_244"
"CRC10_LN1_004","1","CRC10_LN1_004"
"CRC10_PT3_148","1","CRC10_PT3_148"
"CRC10_PT3_130","1","CRC10_PT3_130"
"CRC10_LN1_037","0","CRC10_LN1_037"
"CRC10_PT3_142","1","CRC10_PT3_142"
