,rna_clone,rna_number,dna_clone,dna_number,dna_all_number,expected_random_number,setting
0,crc04_clone0,57,crc04_clone0,80,93,49.0,Agglomerative_untransformed_6_clusters
1,crc04_clone1,0,crc04_clone0,80,93,0.0,Agglomerative_untransformed_6_clusters
2,crc04_clone0,57,crc04_clone1,13,93,8.0,Agglomerative_untransformed_6_clusters
3,crc04_clone1,0,crc04_clone1,13,93,0.0,Agglomerative_untransformed_6_clusters
4,crc10_clone0,60,crc10_clone0,105,123,51.2,Agglomerative_untransformed_6_clusters
5,crc10_clone1,9,crc10_clone0,105,123,7.7,Agglomerative_untransformed_6_clusters
6,crc10_clone0,60,crc10_clone1,18,123,8.8,Agglomerative_untransformed_6_clusters
7,crc10_clone1,9,crc10_clone1,18,123,1.3,Agglomerative_untransformed_6_clusters
8,crc11_clone0,173,crc11_clone0,248,249,172.3,Agglomerative_untransformed_6_clusters
9,crc11_clone1,1,crc11_clone0,248,249,1.0,Agglomerative_untransformed_6_clusters
10,crc11_clone0,173,crc11_clone1,1,249,0.7,Agglomerative_untransformed_6_clusters
11,crc11_clone1,1,crc11_clone1,1,249,0.0,Agglomerative_untransformed_6_clusters
12,crc04_clone0,57,crc04_clone0,80,93,49.0,Agglomerative_untransformed_7_clusters
13,crc04_clone1,0,crc04_clone0,80,93,0.0,Agglomerative_untransformed_7_clusters
14,crc04_clone0,57,crc04_clone1,13,93,8.0,Agglomerative_untransformed_7_clusters
15,crc04_clone1,0,crc04_clone1,13,93,0.0,Agglomerative_untransformed_7_clusters
16,crc10_clone0,60,crc10_clone0,105,123,51.2,Agglomerative_untransformed_7_clusters
17,crc10_clone1,9,crc10_clone0,105,123,7.7,Agglomerative_untransformed_7_clusters
18,crc10_clone0,60,crc10_clone1,18,123,8.8,Agglomerative_untransformed_7_clusters
19,crc10_clone1,9,crc10_clone1,18,123,1.3,Agglomerative_untransformed_7_clusters
20,crc11_clone0,171,crc11_clone0,244,249,167.6,Agglomerative_untransformed_7_clusters
21,crc11_clone1,2,crc11_clone0,244,249,2.0,Agglomerative_untransformed_7_clusters
22,crc11_clone2,1,crc11_clone0,244,249,1.0,Agglomerative_untransformed_7_clusters
23,crc11_clone0,171,crc11_clone1,4,249,2.7,Agglomerative_untransformed_7_clusters
24,crc11_clone1,2,crc11_clone1,4,249,0.0,Agglomerative_untransformed_7_clusters
25,crc11_clone2,1,crc11_clone1,4,249,0.0,Agglomerative_untransformed_7_clusters
26,crc11_clone0,171,crc11_clone2,1,249,0.7,Agglomerative_untransformed_7_clusters
27,crc11_clone1,2,crc11_clone2,1,249,0.0,Agglomerative_untransformed_7_clusters
28,crc11_clone2,1,crc11_clone2,1,249,0.0,Agglomerative_untransformed_7_clusters
29,crc04_clone0,57,crc04_clone0,80,93,49.0,Agglomerative_untransformed_8_clusters
30,crc04_clone1,0,crc04_clone0,80,93,0.0,Agglomerative_untransformed_8_clusters
31,crc04_clone0,57,crc04_clone1,13,93,8.0,Agglomerative_untransformed_8_clusters
32,crc04_clone1,0,crc04_clone1,13,93,0.0,Agglomerative_untransformed_8_clusters
