,CRC09_PT4_547,CRC09_PT4_527,CRC09_PT4_511,CRC09_PT1_267,CRC09_PT1_254,CRC09_PT2_322,CRC09_PT3_474,CRC09_PT4_522,CRC09_PT4_529,CRC09_PT3_489,CRC09_PT1_263,CRC09_PT4_544,CRC09_PT4_556,CRC09_PT3_466,CRC09_PT2_338,CRC09_PT4_519,CRC09_PT1_244,CRC09_PT3_459,CRC09_PT1_256,CRC09_PT3_460,CRC09_PT4_528,CRC09_PT5_590,CRC09_PT1_269,CRC09_PT4_533,CRC09_PT4_525,CRC09_PT4_514,CRC09_PT4_518,CRC09_PT1_285,CRC09_PT1_274,CRC09_PT1_287,CRC09_NC_219,CRC09_PT3_609,CRC09_PT3_496,CRC09_PT4_540,CRC09_PT4_550,CRC09_PT4_536,CRC09_PT2_326,CRC09_PT4_546,CRC09_PT3_463,CRC09_PT4_545,CRC09_NC_227,CRC09_PT1_276,CRC09_PT1_281,CRC09_PT5_589,CRC09_PT1_278,CRC09_PT1_270,CRC09_PT3_490,CRC09_PT3_614,CRC09_PT1_242,CRC09_PT1_249,CRC09_PT3_470,CRC09_PT3_481,CRC09_PT1_272,CRC09_PT3_487,CRC09_PT4_551,CRC09_PT5_566,CRC09_PT4_530,CRC09_PT1_265,CRC09_PT1_262,CRC09_PT1_251,CRC09_PT3_484,CRC09_PT4_548,CRC09_PT3_611,CRC09_PT4_523,CRC09_PT1_286,CRC09_PT1_250,CRC09_PT5_560,CRC09_PT1_255,CRC09_PT1_241,CRC09_PT3_486,CRC09_PT3_612,CRC09_PT4_541,CRC09_PT4_538,CRC09_PT1_273,CRC09_PT4_509,CRC09_PT1_257,CRC09_PT1_275,CRC09_PT5_577,CRC09_PT5_575,CRC09_NC_211,CRC09_PT4_524,CRC09_PT1_284,CRC09_PT5_601,CRC09_PT4_549,CRC09_PT1_258,CRC09_PT1_266,CRC09_PT5_592,CRC09_PT4_521,CRC09_PT5_604,CRC09_PT4_553,CRC09_PT4_512,CRC09_PT4_554,CRC09_PT1_260,CRC09_PT4_515,CRC09_PT1_288,CRC09_PT5_569,CRC09_PT4_539,CRC09_PT3_606,CRC09_PT1_253,CRC09_PT1_264,CRC09_PT4_542,CRC09_PT3_492
ENSG00000185246,0,49,52,77,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,37,0,0,0,0,0,0,0,191,0,0,0,0,0,71,6,79,0,0,0,217,0,0,0,0,0,0,0,39,0,13,0,254,0,0,0,0,0,0,0,0,0,0,0,14,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,274,27,11,0,0,0,0,42,0,0,0
ENSG00000178537,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,11,112,0,38,0,0,36,0,113,0,44,0,268,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,70,0,78,17,0,0,0,0,90,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,27,0,134,0,0,0,0,0,0,0
ENSG00000188175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174607,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,11,0,0,37,0,42,0,11,26
ENSG00000197162,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
ENSG00000129911,0,39,209,0,0,152,0,0,0,0,0,0,0,70,0,46,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,17,0,0,75,0,0,36,238,28,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,14,0,0,381,0,0,177,0,0,0,31,56,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
ENSG00000159720,709,147,209,155,25,836,18,53,159,9,0,125,0,56,0,64,89,206,0,0,157,0,22,197,152,102,48,73,112,564,146,570,419,74,129,525,113,72,0,53,40,155,32,0,80,268,137,514,80,0,122,0,313,179,0,0,0,53,1341,0,0,265,0,0,533,56,94,404,270,320,78,133,0,71,153,188,22,443,295,142,313,21,0,86,29,0,510,247,0,95,660,78,245,11,326,0,147,0,146,0,177,79
ENSG00000088386,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
ENSG00000144713,876,2083,2817,4678,3599,4105,4062,4498,5793,4391,4991,4639,3095,3770,2803,1468,3843,3082,7035,3383,2825,5800,3982,2813,2971,1871,3637,3620,4724,3978,2953,4141,5518,2655,2410,2861,5279,3842,4386,4607,3293,4006,3336,4240,3832,3302,3382,1245,3598,4683,5214,3940,3604,6733,5724,2826,3551,3758,3615,6483,6890,3323,4867,1929,3917,2767,3755,1453,3284,3160,4210,2524,8014,5149,3815,2628,3991,4075,1957,3877,4226,3794,1960,4029,3206,5034,3478,6482,3747,3623,2374,2898,4210,3422,2797,6550,3898,3542,3819,3330,2554,5523
ENSG00000159692,42,10,52,0,25,0,0,0,0,0,0,218,0,14,196,9,13,25,0,191,0,0,0,0,47,29,0,0,0,0,18,0,0,0,129,48,38,72,0,0,0,71,6,0,8,0,0,0,70,384,0,0,0,0,143,194,125,173,292,0,0,17,40,0,0,0,0,0,40,0,0,22,0,0,0,47,0,0,0,142,78,41,392,0,29,0,210,0,0,95,0,39,68,32,192,446,0,77,21,73,0,0
