,clone0,clone1,clone2,clone3
ENSG00000134668,1.6857142857142857,1.024390243902439,2.0,1.0
ENSG00000171466,2.0,2.0,2.0,2.0
ENSG00000071553,2.142857142857143,2.707317073170732,2.0,1.75
ENSG00000154124,2.0,1.0,2.0,1.0
ENSG00000259120,2.0285714285714285,2.024390243902439,2.0,2.25
ENSG00000101109,5.0,3.975609756097561,2.0,4.75
ENSG00000235098,1.0,1.0,2.0,1.0
ENSG00000105851,1.1714285714285715,2.8536585365853657,2.0,2.0
ENSG00000171169,1.2285714285714286,1.975609756097561,2.0,1.0
ENSG00000077463,1.9714285714285715,2.0,2.0,2.0
ENSG00000203876,1.9714285714285715,2.926829268292683,2.0,2.5
ENSG00000114735,1.7428571428571429,2.0,2.0,2.0
ENSG00000203943,1.5714285714285714,2.0,2.0,1.25
ENSG00000140612,1.1428571428571428,1.975609756097561,2.0,1.25
ENSG00000115386,1.9428571428571428,2.0,2.0,2.75
ENSG00000161281,2.0,2.0,2.0,2.0
ENSG00000167261,1.3714285714285714,2.097560975609756,2.0,2.0
ENSG00000149150,2.0,2.8292682926829267,2.0,1.5
ENSG00000061337,0.7142857142857143,1.0,2.0,0.25
ENSG00000124444,2.0,2.0,2.0,1.25
ENSG00000133256,1.4857142857142858,1.975609756097561,2.0,1.0
ENSG00000149782,2.0,2.8780487804878048,2.0,1.5
ENSG00000173275,2.085714285714286,2.707317073170732,2.0,1.75
ENSG00000196263,1.9714285714285715,1.975609756097561,2.0,1.25
ENSG00000119630,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000183978,2.0,2.024390243902439,2.0,2.25
ENSG00000174738,1.7142857142857142,1.975609756097561,2.0,2.0
ENSG00000118503,2.0,1.951219512195122,2.0,2.0
ENSG00000153558,1.7142857142857142,1.975609756097561,2.0,2.0
ENSG00000167037,1.4857142857142858,2.0,2.0,2.0
ENSG00000120727,2.085714285714286,2.0,2.0,2.5
ENSG00000104907,1.9714285714285715,2.0,2.0,2.0
ENSG00000140505,1.2285714285714286,2.0,2.0,1.25
ENSG00000143314,1.9428571428571428,2.0,2.0,1.0
ENSG00000172071,1.2,2.024390243902439,2.0,1.0
ENSG00000111727,1.2,1.975609756097561,2.0,1.75
ENSG00000249267,1.3142857142857143,1.9024390243902438,2.0,1.75
ENSG00000115364,2.0,2.024390243902439,2.0,2.75
ENSG00000177674,1.3428571428571427,1.8048780487804879,2.0,1.0
ENSG00000082269,2.0,1.975609756097561,2.0,2.0
ENSG00000122176,1.9428571428571428,1.975609756097561,2.0,1.0
ENSG00000132670,1.0,2.0,2.0,1.0
ENSG00000092201,1.9142857142857144,2.024390243902439,2.0,2.0
ENSG00000241839,1.2285714285714286,2.0,2.0,1.25
ENSG00000178988,1.4857142857142858,1.951219512195122,2.0,1.0
ENSG00000214046,1.9714285714285715,2.0,2.0,2.0
ENSG00000010704,2.0,1.951219512195122,2.0,1.75
ENSG00000229809,1.6285714285714286,2.0,2.0,2.5
ENSG00000139626,1.2285714285714286,1.975609756097561,2.0,2.0
ENSG00000143751,1.9428571428571428,1.975609756097561,2.0,1.0
ENSG00000167131,2.0,2.024390243902439,2.0,2.25
ENSG00000198961,2.0285714285714285,1.146341463414634,2.0,2.5
ENSG00000109814,1.2285714285714286,1.975609756097561,2.0,1.0
ENSG00000178997,1.1714285714285715,2.0,2.0,1.25
ENSG00000125753,2.0,2.0,2.0,1.25
ENSG00000140323,1.1714285714285715,2.0,2.0,1.25
ENSG00000101391,5.0285714285714285,3.8048780487804876,2.0,5.5
ENSG00000198492,1.6857142857142857,1.024390243902439,2.0,1.0
ENSG00000176531,2.0,2.0,2.0,1.25
ENSG00000242516,1.7142857142857142,1.975609756097561,2.0,2.0
ENSG00000125538,2.1714285714285713,2.0,2.0,3.25
ENSG00000196968,1.0,2.1707317073170733,2.0,1.0
ENSG00000064601,5.057142857142857,4.146341463414634,2.0,4.75
ENSG00000171121,1.6,2.731707317073171,2.0,2.0
ENSG00000114395,1.7428571428571429,2.0,2.0,2.0
ENSG00000197782,2.0,2.0,2.0,2.0
ENSG00000269900,1.1428571428571428,1.975609756097561,2.0,1.25
ENSG00000138069,1.9714285714285715,2.024390243902439,2.0,2.75
ENSG00000118046,1.9714285714285715,2.0,2.0,2.0
ENSG00000168724,2.0285714285714285,2.0,2.0,2.0
ENSG00000103196,1.3714285714285714,1.9268292682926829,2.0,2.0
ENSG00000188315,1.7428571428571429,2.0,2.0,2.0
ENSG00000115163,1.9428571428571428,2.024390243902439,2.0,3.25
ENSG00000198729,2.0,1.951219512195122,2.0,2.0
ENSG00000122188,1.9428571428571428,1.975609756097561,2.0,1.0
ENSG00000100353,1.457142857142857,2.0,2.0,2.0
ENSG00000116017,1.9714285714285715,2.0,2.0,2.0
ENSG00000105997,3.914285714285714,3.024390243902439,2.0,4.0
ENSG00000152147,1.9428571428571428,2.024390243902439,2.0,3.25
ENSG00000232132,2.6,2.048780487804878,2.0,2.25
ENSG00000130159,2.0,2.0,2.0,2.0
ENSG00000167491,2.0,2.0,2.0,2.0
ENSG00000168140,2.0,2.0,2.0,3.0
ENSG00000135632,2.0,2.024390243902439,2.0,2.75
ENSG00000103091,1.3714285714285714,2.0,2.0,2.0
ENSG00000188389,1.5142857142857142,2.0,2.0,1.0
ENSG00000204482,2.0,1.951219512195122,2.0,1.75
ENSG00000114107,1.5714285714285714,2.0,2.0,2.0
ENSG00000186184,2.6285714285714286,2.024390243902439,2.0,3.5
ENSG00000121680,2.057142857142857,2.8292682926829267,2.0,1.5
ENSG00000174945,3.8857142857142857,2.951219512195122,2.0,3.5
ENSG00000100504,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000188257,1.4,1.7804878048780488,2.0,1.0
ENSG00000140941,1.3714285714285714,1.9268292682926829,2.0,2.0
ENSG00000170345,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000172543,2.0,2.902439024390244,2.0,1.5
ENSG00000068438,2.4285714285714284,2.7804878048780486,2.0,1.75
ENSG00000103260,2.0,2.0,2.0,3.0
ENSG00000213585,2.085714285714286,2.0,2.0,2.5
ENSG00000059145,2.0,2.0,2.0,3.0
ENSG00000102984,1.3714285714285714,2.024390243902439,2.0,2.0
ENSG00000079435,2.0,2.0,2.0,1.25
ENSG00000135956,2.142857142857143,2.024390243902439,2.0,3.25
ENSG00000066697,1.0857142857142856,1.975609756097561,2.0,1.0
ENSG00000107796,1.0,1.170731707317073,2.0,1.0
ENSG00000177272,1.6285714285714286,2.024390243902439,2.0,1.25
ENSG00000117118,1.3142857142857143,1.3902439024390243,2.0,1.0
ENSG00000006432,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000168522,4.457142857142857,3.0,2.0,5.0
ENSG00000186395,2.0,2.024390243902439,2.0,2.25
ENSG00000145391,1.457142857142857,1.975609756097561,2.0,1.0
ENSG00000267080,2.0,2.024390243902439,2.0,2.25
ENSG00000100519,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000095906,2.0,2.0,2.0,3.0
ENSG00000116670,1.3428571428571427,1.8048780487804879,2.0,1.0
ENSG00000101473,5.057142857142857,4.146341463414634,2.0,4.75
ENSG00000189144,2.0,2.0,2.0,2.0
ENSG00000197747,1.9428571428571428,2.0,2.0,1.0
ENSG00000134897,2.5428571428571427,2.024390243902439,2.0,2.25
ENSG00000213079,2.0,1.951219512195122,2.0,2.0
ENSG00000104327,4.3428571428571425,5.073170731707317,2.0,4.75
ENSG00000009830,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000221829,1.1428571428571428,1.975609756097561,2.0,1.25
ENSG00000165879,1.0285714285714285,1.170731707317073,2.0,1.0
ENSG00000167645,2.0,2.0,2.0,2.0
ENSG00000137261,2.0,1.951219512195122,2.0,1.75
ENSG00000100591,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000278023,2.0,2.0,2.0,2.25
ENSG00000113719,2.057142857142857,1.6829268292682926,2.0,2.5
ENSG00000161610,2.0,2.024390243902439,2.0,2.25
ENSG00000050730,1.1714285714285715,2.0,2.0,1.0
ENSG00000168090,1.1714285714285715,2.8536585365853657,2.0,2.0
ENSG00000177721,2.0285714285714285,1.975609756097561,2.0,2.0
ENSG00000126895,2.142857142857143,2.707317073170732,2.0,1.75
ENSG00000150630,1.3714285714285714,1.9268292682926829,2.0,1.0
ENSG00000165621,2.5142857142857142,2.024390243902439,2.0,2.25
ENSG00000139644,1.2285714285714286,1.975609756097561,2.0,2.0
ENSG00000200792,1.542857142857143,1.975609756097561,2.0,1.25
ENSG00000204370,3.7714285714285714,2.1219512195121952,2.0,3.25
ENSG00000164972,1.1428571428571428,1.975609756097561,2.0,1.25
ENSG00000164849,3.8285714285714287,2.8292682926829267,2.0,3.5
ENSG00000213722,2.0,1.951219512195122,2.0,1.75
ENSG00000111669,1.1714285714285715,1.951219512195122,2.0,2.0
ENSG00000127152,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000284922,3.857142857142857,3.707317073170732,2.0,3.5
ENSG00000110583,2.0,2.8536585365853657,2.0,1.5
ENSG00000124588,2.0,1.951219512195122,2.0,1.75
ENSG00000160117,1.9714285714285715,2.0,2.0,2.0
ENSG00000144115,1.2,2.024390243902439,2.0,1.0
ENSG00000236830,1.542857142857143,1.975609756097561,2.0,1.25
ENSG00000143870,2.257142857142857,2.024390243902439,2.0,3.5
ENSG00000141505,1.0,1.975609756097561,2.0,1.0
ENSG00000169682,1.6285714285714286,2.0,2.0,2.25
ENSG00000132677,1.9428571428571428,2.0,2.0,1.0
ENSG00000130177,2.7714285714285714,2.024390243902439,2.0,2.25
ENSG00000100473,1.9142857142857144,2.024390243902439,2.0,2.0
ENSG00000138107,1.0,1.170731707317073,2.0,1.0
ENSG00000173992,2.0,2.926829268292683,2.0,1.5
ENSG00000182968,2.7714285714285714,2.024390243902439,2.0,2.25
ENSG00000167363,2.0285714285714285,2.024390243902439,2.0,2.25
ENSG00000247271,2.057142857142857,2.8292682926829267,2.0,1.5
ENSG00000109736,1.4857142857142858,1.975609756097561,2.0,1.0
ENSG00000125652,1.9714285714285715,2.0,2.0,2.0
ENSG00000186352,1.4857142857142858,2.0,2.0,1.0
ENSG00000156466,4.371428571428571,5.073170731707317,2.0,4.75
ENSG00000058600,1.3142857142857143,2.0,2.0,2.0
ENSG00000063978,1.4857142857142858,1.975609756097561,2.0,1.0
ENSG00000187984,1.1428571428571428,1.975609756097561,2.0,1.0
ENSG00000111696,1.1714285714285715,1.975609756097561,2.0,1.75
ENSG00000186994,2.0,2.0,2.0,2.0
ENSG00000105063,2.0,1.975609756097561,2.0,1.25
ENSG00000182308,1.2285714285714286,1.975609756097561,2.0,1.0
ENSG00000174365,5.0,3.7560975609756095,2.0,4.75
ENSG00000101162,5.057142857142857,4.146341463414634,2.0,4.75
ENSG00000233893,2.0,1.951219512195122,2.0,2.0
ENSG00000131149,1.3714285714285714,1.9268292682926829,2.0,2.0
ENSG00000258839,1.3714285714285714,2.0,2.0,2.0
ENSG00000116990,1.6857142857142857,2.0,2.0,1.0
ENSG00000122122,2.085714285714286,2.707317073170732,2.0,1.75
ENSG00000140403,1.1714285714285715,2.0,2.0,1.25
ENSG00000142676,1.6857142857142857,1.7804878048780488,2.0,1.0
ENSG00000169857,1.1428571428571428,2.0,2.0,1.25
ENSG00000175445,0.7142857142857143,1.0,2.0,0.25
ENSG00000169413,1.9142857142857144,2.024390243902439,2.0,2.0
ENSG00000131652,2.0,2.0,2.0,3.0
ENSG00000158941,0.7142857142857143,1.0,2.0,0.25
ENSG00000113790,1.6857142857142857,2.731707317073171,2.0,2.0
ENSG00000066322,1.6857142857142857,2.0,2.0,1.0
ENSG00000115318,2.0,2.024390243902439,2.0,2.75
ENSG00000158710,1.9428571428571428,1.975609756097561,2.0,1.0
ENSG00000159167,0.7142857142857143,1.0,2.0,0.25
ENSG00000135341,2.0,1.951219512195122,2.0,2.0
ENSG00000146054,1.6571428571428573,1.024390243902439,2.0,1.0
ENSG00000129932,1.9714285714285715,2.0,2.0,2.0
ENSG00000116525,1.6857142857142857,1.024390243902439,2.0,1.0
ENSG00000185361,1.9714285714285715,2.0,2.0,2.0
ENSG00000134575,2.0,2.8292682926829267,2.0,1.5
ENSG00000153832,1.3428571428571427,2.0,2.0,1.0
ENSG00000163762,1.6285714285714286,2.0,2.0,2.0
ENSG00000167701,4.6571428571428575,5.024390243902439,2.0,4.75
ENSG00000204673,2.0,2.0,2.0,1.25
ENSG00000261652,1.2285714285714286,1.975609756097561,2.0,1.25
ENSG00000267534,2.0,2.0,2.0,2.0
ENSG00000275302,2.0,2.0,2.0,2.25
ENSG00000147677,4.285714285714286,5.024390243902439,2.0,4.75
ENSG00000178904,2.0,2.0,2.0,2.0
ENSG00000116906,1.9428571428571428,1.975609756097561,2.0,1.0
ENSG00000116824,1.6285714285714286,2.024390243902439,2.0,1.25
ENSG00000168267,1.0285714285714285,1.975609756097561,2.0,2.0
ENSG00000135424,1.2571428571428571,1.975609756097561,2.0,1.75
ENSG00000075702,2.0,2.0,2.0,2.0
ENSG00000186532,1.0,1.975609756097561,2.0,1.0
ENSG00000126562,2.0,2.024390243902439,2.0,2.25
ENSG00000079974,1.542857142857143,1.975609756097561,2.0,2.0
ENSG00000153721,2.0,1.951219512195122,2.0,2.0
ENSG00000100376,1.6,2.0,2.0,2.0
ENSG00000080824,1.9714285714285715,2.024390243902439,2.0,2.0
ENSG00000170464,2.085714285714286,2.0,2.0,2.5
ENSG00000117362,1.9428571428571428,2.0,2.0,1.0
ENSG00000155876,1.1428571428571428,2.0,2.0,1.75
ENSG00000131844,2.085714285714286,1.951219512195122,2.0,2.0
ENSG00000172046,1.7428571428571429,2.0,2.0,2.0
ENSG00000099821,1.9714285714285715,2.0,2.0,2.0
ENSG00000188404,1.9428571428571428,2.0,2.0,1.0
ENSG00000171557,1.4857142857142858,1.975609756097561,2.0,1.0
ENSG00000131470,2.0,2.024390243902439,2.0,2.25
ENSG00000158457,1.1428571428571428,2.8536585365853657,2.0,2.0
ENSG00000049883,2.085714285714286,1.951219512195122,2.0,2.0
ENSG00000102287,2.142857142857143,2.707317073170732,2.0,1.75
ENSG00000131467,2.0,2.024390243902439,2.0,2.25
ENSG00000185262,2.0285714285714285,2.024390243902439,2.0,2.25
