,CRC10_PT3_126,CRC10_LN1_030,CRC10_LN1_042,CRC10_PT3_103,CRC10_LN1_006,CRC10_PT3_107,CRC10_PT3_145,CRC10_PT3_141,CRC10_PT3_109,CRC10_LN1_041,CRC10_PT4_738,CRC10_LN1_003,CRC10_PT3_118,CRC10_LN1_039,CRC10_PT3_105,CRC10_PT3_114,CRC10_LN1_035,CRC10_LN1_017,CRC10_LN1_046,CRC10_PT3_138,CRC10_LN1_011,CRC10_LN1_019,CRC10_LN1_026,CRC10_LN1_008,CRC10_PT3_111,CRC10_PT3_119,CRC10_LN1_028,CRC10_LN2_287,CRC10_LN1_044,CRC10_LN1_029,CRC10_PT3_125,CRC10_PT4_740,CRC10_LN1_016,CRC10_LN3_070,CRC10_PT3_122,CRC10_PT3_127,CRC10_PT3_110,CRC10_LN1_047,CRC10_LN1_024,CRC10_PT3_104,CRC10_LN1_040,CRC10_LN1_014,CRC10_PT3_128,CRC10_LN1_010,CRC10_LN1_033,CRC10_PT1_154,CRC10_PT4_745,CRC10_PT3_147,CRC10_LN1_015,CRC10_LN1_038,CRC10_PT4_748,CRC10_PT3_115,CRC10_LN1_031,CRC10_PT3_106,CRC10_PT3_101,CRC10_PT3_113,CRC10_PT3_124,CRC10_PT3_140,CRC10_PT1_165,CRC10_LN1_021,CRC10_LN1_018,CRC10_PT3_117,CRC10_PT3_112,CRC10_LN1_048,CRC10_PT3_108,CRC10_PT3_131,CRC10_LN3_073,CRC10_LN1_007,CRC10_PT3_137,CRC10_LN1_025,CRC10_PT3_102,CRC10_PT1_160,CRC10_PT1_155,CRC10_PT1_156,CRC10_PT3_135,CRC10_PT3_133,CRC10_PT3_136,CRC10_PT1_175,CRC10_PT1_157,CRC10_PT2_244,CRC10_LN1_004,CRC10_PT3_148,CRC10_PT3_130,CRC10_LN1_037,CRC10_PT3_142
ENSG00000134668,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171466,3,0,0,0,0,0,95,0,0,0,99,0,0,0,75,58,0,0,0,0,0,0,0,0,136,0,18,0,0,15,0,0,0,0,55,0,235,12,146,0,0,0,243,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,60,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,6
ENSG00000071553,198,133,14,242,513,295,294,446,202,89,79,191,52,384,99,32,0,0,175,0,154,348,40,0,0,0,334,0,128,167,386,100,55,568,65,50,0,139,117,0,99,210,202,0,27,288,673,98,0,390,55,629,184,311,382,243,127,1005,468,139,83,0,525,0,167,159,234,69,164,746,12,181,0,457,254,45,0,0,225,0,132,0,115,162,219
ENSG00000154124,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,47,0,60,0,0,0,12,0,0,0,0,0,0,0,0,35,15,0,0,0,121,0,0,0,0,0,0,0,0,0,0,22,17,0,0,0,0,0,0,0,0,0,0,18,0,139,0,0,0,121,0,274,0,0,0,0,99,0,0,0,0,0,0
ENSG00000259120,0,0,0,0,0,0,0,0,7,0,0,21,0,0,0,0,447,0,0,0,0,68,0,0,0,368,0,0,0,10,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,144,0,0,0,0,0,0,55,44,0,0,203,0,0,139,0,0,0,97,0,6,0,46,0,322,0,0,0,0,0,0,0,0,0,0,0,0,154,136,0
ENSG00000101109,0,0,0,156,0,0,189,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,265,0,0,33,18,0,0,116,15,0,0,0,0,0,0,0,143,0,22,14,55,0,0,133,0,0,0,0,0,0,0,0,0,0,0,71,0,115,0,249,0,0,0,160,0,0,0,0,0,0,0,0,0,19,0
ENSG00000235098,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0
ENSG00000105851,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ENSG00000184716,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,35,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171169,23,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ENSG00000077463,6,208,128,14,0,0,0,0,0,4,158,0,0,0,149,0,0,0,0,0,0,0,0,248,0,0,0,0,0,10,0,0,0,0,0,0,0,0,15,0,69,20,0,0,0,335,41,0,0,0,0,0,0,0,9,0,0,0,0,159,0,0,0,0,0,41,0,162,0,0,85,0,0,0,0,384,0,0,0,0,0,0,0,51,42
ENSG00000203876,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,35,0,0,109,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,38,0,24,0,0,0,85,0,0,0,0,0,0,0,0,37,0
ENSG00000114735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000203943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,15,325,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,0
ENSG00000140612,451,242,114,71,239,111,398,200,260,219,0,233,0,46,273,233,251,2323,140,155,123,182,417,372,136,0,281,0,227,197,48,0,164,367,175,0,0,278,88,145,380,767,81,35,312,0,0,338,22,281,219,157,332,400,278,517,280,0,0,219,166,111,0,176,56,300,0,554,437,0,97,484,103,114,296,475,0,106,0,588,120,164,329,269,289
ENSG00000115386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
ENSG00000163749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000161281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167261,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149782,0,0,0,0,34,0,0,0,0,33,0,0,0,0,149,0,0,0,0,0,31,31,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,83,148,0,44,0,35,0,0,0,15,0,0,0,91,42,0,0,0,9,0,0,0,91,0,3
ENSG00000061337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124444,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,75,0,0,0,12,15,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,18,234,0,26,0,0,0,0,0,0,0,0,0,9,0,0,0,98,13,0
