,cell,original_clone,agg_clone
0,CRC11_LN1_301,2,crc11_clone0
1,CRC11_LN1_302,2,crc11_clone0
2,CRC11_LN1_303,2,crc11_clone0
3,CRC11_LN1_304,2,crc11_clone0
4,CRC11_LN1_306,2,crc11_clone0
5,CRC11_LN1_307,2,crc11_clone0
6,CRC11_LN1_308,2,crc11_clone0
7,CRC11_LN1_309,2,crc11_clone0
8,CRC11_LN1_310,2,crc11_clone0
9,CRC11_LN1_311,2,crc11_clone0
10,CRC11_LN1_313,2,crc11_clone0
11,CRC11_LN1_314,2,crc11_clone0
12,CRC11_LN1_315,2,crc11_clone0
13,CRC11_LN1_316,2,crc11_clone0
14,CRC11_LN1_317,2,crc11_clone0
15,CRC11_LN1_318,2,crc11_clone0
16,CRC11_LN1_319,2,crc11_clone0
17,CRC11_LN1_320,2,crc11_clone0
18,CRC11_LN1_321,2,crc11_clone0
19,CRC11_LN1_323,2,crc11_clone0
20,CRC11_LN1_324,2,crc11_clone0
21,CRC11_LN1_325,2,crc11_clone0
22,CRC11_LN1_326,1,crc11_clone1
23,CRC11_LN1_327,2,crc11_clone0
24,CRC11_LN1_328,2,crc11_clone0
25,CRC11_LN1_329,2,crc11_clone0
26,CRC11_LN1_330,2,crc11_clone0
27,CRC11_LN1_332,2,crc11_clone0
28,CRC11_LN1_333,2,crc11_clone0
29,CRC11_LN1_334,2,crc11_clone0
30,CRC11_LN1_335,2,crc11_clone0
31,CRC11_LN1_336,2,crc11_clone0
32,CRC11_LN1_338,2,crc11_clone0
33,CRC11_LN1_339,2,crc11_clone0
34,CRC11_LN1_340,2,crc11_clone0
35,CRC11_LN1_342,2,crc11_clone0
36,CRC11_LN1_343,2,crc11_clone0
37,CRC11_LN1_344,2,crc11_clone0
38,CRC11_LN1_345,2,crc11_clone0
39,CRC11_LN1_347,2,crc11_clone0
40,CRC11_LN1_348,2,crc11_clone0
41,CRC11_LN1_349,2,crc11_clone0
42,CRC11_LN1_350,2,crc11_clone0
43,CRC11_LN1_351,2,crc11_clone0
44,CRC11_LN1_352,2,crc11_clone0
45,CRC11_LN1_353,2,crc11_clone0
46,CRC11_LN1_354,2,crc11_clone0
47,CRC11_LN1_355,2,crc11_clone0
48,CRC11_LN1_356,2,crc11_clone0
49,CRC11_LN1_357,2,crc11_clone0
50,CRC11_LN1_358,2,crc11_clone0
51,CRC11_LN1_359,2,crc11_clone0
52,CRC11_LN1_360,2,crc11_clone0
53,CRC11_LN1_361,2,crc11_clone0
54,CRC11_LN1_362,2,crc11_clone0
55,CRC11_LN1_363,2,crc11_clone0
56,CRC11_LN1_364,2,crc11_clone0
57,CRC11_LN1_365,2,crc11_clone0
58,CRC11_LN1_366,2,crc11_clone0
59,CRC11_LN1_367,2,crc11_clone0
60,CRC11_LN1_368,2,crc11_clone0
61,CRC11_LN1_369,2,crc11_clone0
62,CRC11_LN1_370,2,crc11_clone0
63,CRC11_LN1_371,2,crc11_clone0
64,CRC11_LN1_372,2,crc11_clone0
65,CRC11_LN1_373,2,crc11_clone0
66,CRC11_LN1_374,2,crc11_clone0
67,CRC11_LN1_375,2,crc11_clone0
68,CRC11_LN1_376,2,crc11_clone0
69,CRC11_LN1_377,2,crc11_clone0
70,CRC11_LN1_378,2,crc11_clone0
71,CRC11_LN1_379,2,crc11_clone0
72,CRC11_LN1_380,2,crc11_clone0
73,CRC11_LN1_381,2,crc11_clone0
74,CRC11_LN1_382,2,crc11_clone0
75,CRC11_LN1_383,2,crc11_clone0
76,CRC11_LN1_385,0,crc11_clone0
77,CRC11_LN1_386,2,crc11_clone0
78,CRC11_LN1_387,2,crc11_clone0
79,CRC11_LN1_388,2,crc11_clone0
80,CRC11_NC_389,3,crc11_clone2
81,CRC11_NC_390,3,crc11_clone2
82,CRC11_NC_391,3,crc11_clone2
83,CRC11_NC_393,3,crc11_clone2
84,CRC11_NC_395,3,crc11_clone2
85,CRC11_NC_396,3,crc11_clone2
86,CRC11_NC_404,3,crc11_clone2
87,CRC11_NC_405,3,crc11_clone2
88,CRC11_NC_406,3,crc11_clone2
89,CRC11_NC_407,3,crc11_clone2
90,CRC11_NC_408,3,crc11_clone2
91,CRC11_NC_409,3,crc11_clone2
92,CRC11_NC_412,3,crc11_clone2
93,CRC11_NC_413,3,crc11_clone2
94,CRC11_NC_414,3,crc11_clone2
95,CRC11_NC_415,3,crc11_clone2
96,CRC11_NC_416,3,crc11_clone2
97,CRC11_NC_417,3,crc11_clone2
98,CRC11_NC_418,3,crc11_clone2
99,CRC11_NC_419,3,crc11_clone2
100,CRC11_NC_420,3,crc11_clone2
101,CRC11_NC_421,3,crc11_clone2
102,CRC11_NC_422,3,crc11_clone2
103,CRC11_NC_423,3,crc11_clone2
104,CRC11_PT1_425,0,crc11_clone0
105,CRC11_PT1_427,0,crc11_clone0
106,CRC11_PT1_428,0,crc11_clone0
107,CRC11_PT1_429,0,crc11_clone0
108,CRC11_PT1_430,0,crc11_clone0
109,CRC11_PT1_431,0,crc11_clone0
110,CRC11_PT1_432,0,crc11_clone0
111,CRC11_PT1_433,0,crc11_clone0
112,CRC11_PT1_434,0,crc11_clone0
113,CRC11_PT1_435,0,crc11_clone0
114,CRC11_PT1_437,0,crc11_clone0
115,CRC11_PT1_438,0,crc11_clone0
116,CRC11_PT1_439,0,crc11_clone0
117,CRC11_PT1_440,2,crc11_clone0
118,CRC11_PT1_441,0,crc11_clone0
119,CRC11_PT1_442,0,crc11_clone0
120,CRC11_PT1_443,0,crc11_clone0
121,CRC11_PT1_444,0,crc11_clone0
122,CRC11_PT1_445,0,crc11_clone0
123,CRC11_PT1_446,0,crc11_clone0
124,CRC11_PT1_447,0,crc11_clone0
125,CRC11_PT1_449,0,crc11_clone0
126,CRC11_PT1_450,0,crc11_clone0
127,CRC11_PT1_451,2,crc11_clone0
