,clone,cell
0,2,CRC10_LN1_003
1,0,CRC10_LN1_004
2,2,CRC10_LN1_005
3,2,CRC10_LN1_006
4,2,CRC10_LN1_007
5,2,CRC10_LN1_008
6,2,CRC10_LN1_010
7,2,CRC10_LN1_011
8,1,CRC10_LN1_012
9,0,CRC10_LN1_013
10,1,CRC10_LN1_014
11,0,CRC10_LN1_015
12,0,CRC10_LN1_016
13,2,CRC10_LN1_017
14,2,CRC10_LN1_018
15,0,CRC10_LN1_019
16,0,CRC10_LN1_020
17,2,CRC10_LN1_021
18,0,CRC10_LN1_022
19,2,CRC10_LN1_023
20,2,CRC10_LN1_024
21,0,CRC10_LN1_025
22,0,CRC10_LN1_026
23,2,CRC10_LN1_028
24,2,CRC10_LN1_029
25,1,CRC10_LN1_030
26,0,CRC10_LN1_031
27,2,CRC10_LN1_032
28,1,CRC10_LN1_033
29,0,CRC10_LN1_035
30,0,CRC10_LN1_037
31,0,CRC10_LN1_038
32,0,CRC10_LN1_039
33,1,CRC10_LN1_041
34,2,CRC10_LN1_042
35,1,CRC10_LN1_043
36,0,CRC10_LN1_044
37,0,CRC10_LN1_046
38,2,CRC10_LN1_047
39,0,CRC10_LN1_048
40,0,CRC10_LN3_049
41,0,CRC10_LN3_050
42,0,CRC10_LN3_051
43,0,CRC10_LN3_052
44,0,CRC10_LN3_053
45,0,CRC10_LN3_054
46,0,CRC10_LN3_055
47,0,CRC10_LN3_056
48,0,CRC10_LN3_057
49,0,CRC10_LN3_058
50,0,CRC10_LN3_059
51,0,CRC10_LN3_060
52,0,CRC10_LN3_061
53,0,CRC10_LN3_062
54,0,CRC10_LN3_063
55,0,CRC10_LN3_064
56,0,CRC10_LN3_065
57,1,CRC10_LN3_066
58,0,CRC10_LN3_067
59,1,CRC10_LN3_070
60,0,CRC10_LN3_073
61,0,CRC10_LN3_080
62,3,CRC10_NC_201
63,3,CRC10_NC_202
64,3,CRC10_NC_203
65,3,CRC10_NC_204
66,3,CRC10_NC_205
67,3,CRC10_NC_206
68,2,CRC10_PT1_149
69,0,CRC10_PT1_150
70,0,CRC10_PT1_155
71,0,CRC10_PT1_156
72,0,CRC10_PT1_160
73,2,CRC10_PT1_175
74,0,CRC10_PT1_189
75,0,CRC10_PT1_191
76,0,CRC10_PT2_235
77,0,CRC10_PT3_106
78,0,CRC10_PT3_107
79,0,CRC10_PT3_108
80,0,CRC10_PT3_109
81,0,CRC10_PT3_110
82,0,CRC10_PT3_111
83,0,CRC10_PT3_112
84,0,CRC10_PT3_113
85,0,CRC10_PT3_115
86,0,CRC10_PT3_117
87,0,CRC10_PT3_118
88,0,CRC10_PT3_119
89,0,CRC10_PT3_120
90,0,CRC10_PT3_121
91,0,CRC10_PT3_122
92,0,CRC10_PT3_123
93,1,CRC10_PT3_124
94,0,CRC10_PT3_125
95,0,CRC10_PT3_126
96,0,CRC10_PT3_127
97,0,CRC10_PT3_128
98,0,CRC10_PT3_129
99,0,CRC10_PT3_130
100,0,CRC10_PT3_132
101,0,CRC10_PT3_133
102,0,CRC10_PT3_135
103,0,CRC10_PT3_136
104,0,CRC10_PT3_137
105,0,CRC10_PT3_138
106,0,CRC10_PT3_139
107,1,CRC10_PT3_140
108,0,CRC10_PT3_141
109,0,CRC10_PT3_142
110,0,CRC10_PT3_143
111,0,CRC10_PT3_144
112,0,CRC10_PT3_145
113,0,CRC10_PT3_146
114,0,CRC10_PT4_733
115,0,CRC10_PT4_734
116,0,CRC10_PT4_738
117,0,CRC10_PT4_739
118,0,CRC10_PT4_740
119,0,CRC10_PT4_743
120,0,CRC10_PT4_745
121,0,CRC10_PT4_746
122,0,CRC10_PT4_747
